sample,function,status,label,prob,nodes,edges,xfg_count
01_vulnerable_989,stonesoup_setup_printf_context,success,1,1.0,537,882,201
02_vulnerable_4064,stonesoup_setup_printf_context,success,1,1.0,1848,5961,1064
03_vulnerable_30,if,success,1,1.0,43,70,41
04_vulnerable_55,main,success,1,0.9979877471923828,6,6,4
05_vulnerable_32,badSink,success,1,0.9999673366546631,10,8,4
06_non-vulnerable_63,bad,success,0,0.0005112715298309922,12,14,8
07_non-vulnerable_41,bad,success,0,0.0005112715298309922,14,16,5
08_non-vulnerable_32,CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad,success,0,0.0005112715298309922,4,2,5
09_non-vulnerable_83,bad,success,1,0.533716082572937,20,23,18
10_non-vulnerable_43,bad,success,1,0.9253519773483276,16,18,9
