action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,13,1,-0.21392734281084813,-0.8362790569663048,-0.002568656749076581,41.6,74.8,13,1
control_wrapper,35,1,-0.06657697389126126,-0.7371584922075272,0.00045788225543219596,9.028571428571428,24.6,35,4
data_flow_alias,36,0,-0.033668140567194325,-0.2947569489479065,0.0027748065972446057,45.05555555555556,93.75,36,3
dead_statement,40,0,-0.019722169305762784,-0.2947569489479065,0.006477470640675165,33.0,74.25,40,0
integer_overflow_guard,10,0,0.0,0.0,0.0,0.0,0.0,10,0
pattern_dead_code,34,0,-0.059699257508213484,-0.44360960833728313,0.07591766119003296,129.41176470588235,237.64705882352942,34,4
postcondition_validation,10,0,0.0,0.0,0.0,0.0,0.0,10,0
range_clamp,15,0,-5.442614203765572e-07,-2.173961320295348e-06,0.0,48.75,112.0,15,3
safe_source_substitution,18,0,-0.053187493433020844,-0.16454005241394043,0.0,18.90909090909091,40.45454545454545,18,2
sink_bound_guard,15,0,-2.2952959932709405e-07,-1.039980816130992e-06,1.2186241882261584e-07,16.75,35.375,15,3
temp_variable_split,15,0,-0.017739901972504413,-0.07101828674785793,5.867885784027749e-05,15.0,32.5,15,2
wide_char_sink_guard,10,0,0.0,0.0,0.0,0.0,0.0,10,0
xfg_targeted_dead_code,33,0,-0.061815496482793456,-0.4436096269637346,0.006477470640675165,39.0,87.75,33,3
