sample_id,label,dataset,source_kind
01_vulnerable_03_vulnerable_30,1,cwe119,project_curated
02_vulnerable_04_vulnerable_55,1,cwe119,project_curated
03_vulnerable_05_vulnerable_32,1,cwe119,project_curated
04_non_vulnerable_06_non-v__40d8c0e6,0,cwe119,project_curated
05_non_vulnerable_07_non-v__fb2c21f1,0,cwe119,project_curated
06_non_vulnerable_08_non-v__43b44e84,0,cwe119,project_curated
07_non_vulnerable_09_non-v__f4328574,0,cwe119,project_curated
08_non_vulnerable_10_non-v__9e822f30,0,cwe119,project_curated
09_vulnerable_CWE121_Stack__77e75687,1,cwe119,CWE119_source_code
10_non_vulnerable_CWE121_S__562c26a2,0,cwe119,CWE119_source_code
11_vulnerable_CWE121_Stack__3584d986,1,cwe119,CWE119_source_code
12_non_vulnerable_CWE121_S__f49cfc9f,0,cwe119,CWE119_source_code
13_vulnerable_CWE121_Stack__02bc2c6d,1,cwe119,CWE119_source_code
14_non_vulnerable_CWE121_S__52769ed1,0,cwe119,CWE119_source_code
15_vulnerable_CWE121_Stack__5ff5ed54,1,cwe119,CWE119_source_code
16_non_vulnerable_CWE121_S__9a9067dd,0,cwe119,CWE119_source_code
17_vulnerable_CWE121_Stack__913289ee,1,cwe119,CWE119_source_code
18_non_vulnerable_CWE121_S__dbe9e0ad,0,cwe119,CWE119_source_code
19_vulnerable_CWE121_Stack__f33c8456,1,cwe119,CWE119_source_code
20_vulnerable_CWE121_Stack__25f8951a,1,cwe119,CWE119_source_code
01_vulnerable_static_uint3__c5a67494,1,devign,devign_function_json
02_vulnerable_static_int_t__b1dd846d,1,devign,devign_function_json
03_vulnerable_void_ff_insert_pad,1,devign,devign_function_json
04_non_vulnerable_static_a__463c7827,0,devign,devign_function_json
05_non_vulnerable_static_i__9a8fb55a,0,devign,devign_function_json
06_non_vulnerable_static_v__a157cf54,0,devign,devign_function_json
07_vulnerable_static_inlin__2adaf4d0,1,devign,devign_function_json
08_non_vulnerable_build_tpm_tcpa,0,devign,devign_function_json
09_non_vulnerable_static_E__d3ba5765,0,devign,devign_function_json
10_non_vulnerable_static_v__b45e50a6,0,devign,devign_function_json
11_non_vulnerable_vnc_disp__03e42972,0,devign,devign_function_json
12_vulnerable_static_inlin__67b4aabd,1,devign,devign_function_json
13_non_vulnerable_static_v__e51f4740,0,devign,devign_function_json
14_vulnerable_static_int_d__97b66b9f,1,devign,devign_function_json
15_vulnerable_static_void___5f967877,1,devign,devign_function_json
16_vulnerable_static_int_m__7ea0595d,1,devign,devign_function_json
17_vulnerable_static_void_FUNCC,1,devign,devign_function_json
18_vulnerable_mpeg1_decode_sequence,1,devign,devign_public_cpg
19_non_vulnerable_const_ch__4db693ad,0,devign,devign_function_json
20_non_vulnerable_static_i__2fb72abe,0,devign,devign_function_json
01_vulnerable_expand_dynam__6fd823be,1,cvefixes,CVEfixes_method_change
02_fixed_dl_dst_substitute,0,cvefixes,CVEfixes_method_change
03_fixed_KPasswordDlg_keyPressed,0,cvefixes,CVEfixes_method_change
04_fixed_ia64_patch_rse,0,cvefixes,CVEfixes_method_change
05_fixed_altivec_unavailab__b6025caa,0,cvefixes,CVEfixes_method_change
06_vulnerable_altivec_unav__a6b48ec1,1,cvefixes,CVEfixes_method_change
07_fixed_videobuf_vm_close,0,cvefixes,CVEfixes_method_change
08_vulnerable_videobuf_vm_close,1,cvefixes,CVEfixes_method_change
09_fixed_netlbl_cipsov4_add_common,0,cvefixes,CVEfixes_method_change
10_vulnerable_netlbl_cipso__17bfddfb,1,cvefixes,CVEfixes_method_change
11_fixed_generic_perform_write,0,cvefixes,CVEfixes_method_change
12_vulnerable_generic_perform_write,1,cvefixes,CVEfixes_method_change
13_fixed_pango_glyph_string_set_size,0,cvefixes,CVEfixes_method_change
14_vulnerable_pango_glyph___205e0f0d,1,cvefixes,CVEfixes_method_change
15_fixed_decode_entities,0,cvefixes,CVEfixes_method_change
16_vulnerable_decode_entities,1,cvefixes,CVEfixes_method_change
17_vulnerable_eval_js,1,cvefixes,CVEfixes_method_change
18_vulnerable_try_read_command,1,cvefixes,CVEfixes_method_change
19_fixed_try_read_network,0,cvefixes,CVEfixes_method_change
20_vulnerable_irssi_ssl_handshake,1,cvefixes,CVEfixes_method_change
