sample_id,dataset,source_leaf,label,status,baseline_code_result,notes
01_vulnerable_03_vulnerable_30,cwe119,01_vulnerable_03_vulnerable_30.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
02_vulnerable_04_vulnerable_55,cwe119,02_vulnerable_04_vulnerable_55.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
03_vulnerable_05_vulnerable_32,cwe119,03_vulnerable_05_vulnerable_32.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
04_non_vulnerable_06_non-v__40d8c0e6,cwe119,04_non_vulnerable_06_non-vulnerable_63.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
05_non_vulnerable_07_non-v__fb2c21f1,cwe119,05_non_vulnerable_07_non-vulnerable_41.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
06_non_vulnerable_08_non-v__43b44e84,cwe119,06_non_vulnerable_08_non-vulnerable_32.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
07_non_vulnerable_09_non-v__f4328574,cwe119,07_non_vulnerable_09_non-vulnerable_83.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
08_non_vulnerable_10_non-v__9e822f30,cwe119,08_non_vulnerable_10_non-vulnerable_43.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
09_vulnerable_CWE121_Stack__77e75687,cwe119,09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
10_non_vulnerable_CWE121_S__562c26a2,cwe119,10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
11_vulnerable_CWE121_Stack__3584d986,cwe119,11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
