method,budget,setting,eligible_samples,scored_samples,any_seed_success_samples,any_seed_success_rate,all_scored_seeds_success_samples,mean_per_sample_seed_success_rate,mean_scored_variants_per_sample
array_index_bound_guard,1,fixed setting,60,13,0,0.0,0,0.0,1.0
control_wrapper,1,fixed setting,60,56,0,0.0,0,0.0,1.0
data_flow_alias,1,fixed setting,60,56,0,0.0,0,0.0,1.0
dead_statement,1,fixed setting,60,56,1,0.017857142857142856,1,0.017857142857142856,1.0
integer_overflow_guard,1,fixed setting,60,0,0,0.0,0,0.0,0.0
pattern_dead_code,1,fixed setting,60,56,0,0.0,0,0.0,1.0
postcondition_validation,1,fixed setting,60,0,0,0.0,0,0.0,0.0
range_clamp,1,fixed setting,60,11,0,0.0,0,0.0,1.0
safe_source_substitution,1,fixed setting,60,7,0,0.0,0,0.0,1.0
sink_bound_guard,1,fixed setting,60,11,4,0.36363636363636365,4,0.36363636363636365,1.0
temp_variable_split,1,fixed setting,60,26,0,0.0,0,0.0,1.0
wide_char_sink_guard,1,fixed setting,60,1,0,0.0,0,0.0,1.0
xfg_targeted_dead_code,1,fixed setting,60,56,1,0.017857142857142856,1,0.017857142857142856,1.0
