action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,60,0,-0.012968868835091466,-0.1683560609817505,0.002011418342590332,25.846153846153847,40.30769230769231,60,47
control_wrapper,60,0,-0.005101504364099473,-0.13646884262561798,0.23140425980091095,4.214285714285714,14.375,60,4
data_flow_alias,60,0,0.00326303813409324,-0.09418565034866333,0.23140425980091095,19.321428571428573,43.732142857142854,60,4
dead_statement,60,1,-0.012090217090118743,-0.7345553636550903,0.23140420019626617,12.0,27.0,60,4
integer_overflow_guard,60,0,,,,,,60,60
pattern_dead_code,60,0,-0.0051082128932859,-0.2942596673965454,0.20899434387683868,54.017857142857146,99.19642857142857,60,4
postcondition_validation,60,0,,,,,,60,60
range_clamp,60,0,-0.23103471801468664,-0.4702054766821675,0.004910346586257219,30.0,69.63636363636364,60,49
safe_source_substitution,60,0,-0.03225262274185582,-0.16447019577026367,2.096855810729617e-14,8.714285714285714,16.142857142857142,60,53
sink_bound_guard,60,4,0.033861780205778264,-0.1320270597934723,0.15224596858024597,16.181818181818183,30.636363636363637,60,49
temp_variable_split,60,0,0.00038353875946771045,-0.014714181423187256,0.021838292479515076,8.0,17.846153846153847,60,34
wide_char_sink_guard,60,0,-0.0009819865226745605,-0.0009819865226745605,-0.0009819865226745605,18.0,34.0,60,59
xfg_targeted_dead_code,60,1,-0.018384916728299727,-0.7488196194171906,0.020084606599994004,15.714285714285714,35.357142857142854,60,4
