sample,function,true_label,status,label,correct,prob,nodes,edges,xfg_count,winner_category,winner_key_line,winner_raw_nodes,winner_nodes,winner_fallback
cvefixes__01_vulnerable_expand_dynamic_string_token,unknown,1,ok,0,0,0.07134445011615753,9,15,3,call,19,8,8,winner_xfg
cvefixes__02_fixed_dl_dst_substitute,if,0,ok,0,1,1.0735370814529688e-08,24,113,4,call,22,23,23,winner_xfg
cvefixes__03_fixed_KPasswordDlg_keyPressed,unknown,0,ok,0,1,2.270781578772585e-06,31,34,4,ptr,25,6,6,winner_xfg
cvefixes__04_fixed_ia64_patch_rse,unknown,0,ok,0,1,1.796072319848463e-05,8,13,2,arith,7,7,7,winner_xfg
cvefixes__05_fixed_altivec_unavailable_exception,altivec_unavailable_exception,0,ok,0,1,0.00033214734867215157,7,8,1,ptr,6,3,3,winner_xfg
cvefixes__06_vulnerable_altivec_unavailable_exception,altivec_unavailable_exception,1,ok,0,0,0.00033214734867215157,7,8,1,ptr,7,3,3,winner_xfg
cvefixes__07_fixed_videobuf_vm_close,unknown,0,ok,0,1,1.2162955727035296e-06,18,38,17,ptr,11,16,16,winner_xfg
cvefixes__08_vulnerable_videobuf_vm_close,unknown,1,ok,0,0,1.2162944358351524e-06,18,38,17,ptr,10,16,16,winner_xfg
cvefixes__09_fixed_netlbl_cipsov4_add_common,netlbl_cipsov4_add_common,0,ok,0,1,0.0003572002751752734,15,28,9,array,22,11,11,winner_xfg
cvefixes__10_vulnerable_netlbl_cipsov4_add_common,netlbl_cipsov4_add_common,1,ok,0,0,0.0036455155350267887,15,26,9,array,10,11,11,winner_xfg
cvefixes__11_fixed_generic_perform_write,generic_perform_write,0,ok,0,1,3.535852499680914e-08,44,88,5,arith,24,43,43,winner_xfg
cvefixes__12_vulnerable_generic_perform_write,generic_perform_write,1,ok,0,0,2.9438250948032874e-08,44,88,5,arith,24,43,43,winner_xfg
cvefixes__13_fixed_pango_glyph_string_set_size,unknown,0,ok,0,1,0.0004900019848719239,15,37,12,ptr,35,2,2,winner_xfg
cvefixes__14_vulnerable_pango_glyph_string_set_size,unknown,1,ok,0,0,0.0005512616480700672,12,35,12,ptr,21,8,8,winner_xfg
cvefixes__15_fixed_decode_entities,while,0,ok,0,1,5.931518171564676e-05,116,426,17,arith,187,93,93,winner_xfg
cvefixes__16_vulnerable_decode_entities,while,1,ok,0,0,4.64283766632434e-05,116,414,17,arith,187,93,93,winner_xfg
cvefixes__17_vulnerable_eval_js,unknown,1,no_xfg,0,0,0.0,19,34,0,,,0,0,
cvefixes__18_vulnerable_try_read_command,try_read_command,1,ok,0,0,0.0024405247531831264,73,190,66,ptr,65,16,16,winner_xfg
cvefixes__19_fixed_try_read_network,try_read_network,0,ok,0,1,6.361414623149916e-14,41,106,26,ptr,36,21,21,winner_xfg
cvefixes__20_vulnerable_irssi_ssl_handshake,irssi_ssl_handshake,1,ok,0,0,0.0013992877211421728,30,43,7,call,10,23,23,winner_xfg
cwe119__01_vulnerable_03_vulnerable_30,if,1,ok,1,1,1.0,43,70,40,call,30,9,9,winner_xfg
cwe119__02_vulnerable_04_vulnerable_55,main,1,ok,1,1,0.9979885816574097,6,6,4,call,61,4,4,winner_xfg
cwe119__03_vulnerable_05_vulnerable_32,badSink,1,ok,1,1,0.9999673366546631,10,8,4,call,38,4,4,winner_xfg
cwe119__04_non_vulnerable_06_non-vulnerable_63,bad,0,ok,0,1,3.258859138099979e-08,12,14,7,array,39,3,3,winner_xfg
cwe119__05_non_vulnerable_07_non-vulnerable_41,bad,0,ok,0,1,5.184804318001823e-44,14,16,2,arith,68,5,5,winner_xfg
cwe119__06_non_vulnerable_08_non-vulnerable_32,CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad,0,ok,0,1,2.515208143449854e-05,4,2,4,call,50,2,2,winner_xfg
cwe119__07_non_vulnerable_09_non-vulnerable_83,bad,0,ok,1,0,0.5337396860122681,20,23,17,call,41,2,2,winner_xfg
cwe119__08_non_vulnerable_10_non-vulnerable_43,bad,0,ok,1,0,0.9253555536270142,16,18,8,array,41,3,3,winner_xfg
cwe119__09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,ok,0,0,0.1622048169374466,5,4,4,arith,29,3,3,winner_xfg
cwe119__10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,ok,0,1,0.1622048169374466,5,4,4,arith,29,3,3,winner_xfg
cwe119__11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,ok,0,0,0.33241280913352966,5,4,4,call,29,3,3,winner_xfg
cwe119__12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,ok,0,1,0.33241280913352966,5,4,4,call,29,3,3,winner_xfg
cwe119__13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,ok,0,0,0.47094735503196716,7,5,8,call,36,2,2,winner_xfg
cwe119__14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,ok,0,1,0.47094735503196716,7,5,8,call,36,2,2,winner_xfg
cwe119__15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,ok,0,0,0.47094735503196716,7,5,8,call,36,2,2,winner_xfg
cwe119__16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,ok,0,1,0.47094735503196716,7,5,8,call,36,2,2,winner_xfg
cwe119__17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,ok,0,0,0.1931895762681961,5,4,3,call,29,3,3,winner_xfg
cwe119__18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,ok,0,1,0.19318954646587372,5,4,3,call,29,3,3,winner_xfg
cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,ok,0,0,0.263123095035553,5,4,3,call,29,3,3,winner_xfg
cwe119__20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,ok,0,0,0.4551286995410919,7,5,7,call,36,2,2,winner_xfg
devign__01_vulnerable_static_uint32_t_sh_serial_ioport_rea,sh_serial_ioport_read,1,ok,0,0,3.894043038599193e-05,78,190,32,ptr,85,6,6,winner_xfg
devign__02_vulnerable_static_int_tight_compress_data,tight_compress_data,1,ok,0,0,7.848731797821529e-08,24,54,21,ptr,33,5,5,winner_xfg
