sample,function,status,label,prob,nodes,edges,xfg_count
cvefixes__01_vulnerable_expand_dynamic_string_token,unknown,success,0,0.07134443521499634,9,15,3
cvefixes__02_fixed_dl_dst_substitute,if,success,0,1.0735370814529688e-08,24,113,4
cvefixes__03_fixed_KPasswordDlg_keyPressed,unknown,success,0,2.2707772586727515e-06,31,34,4
cvefixes__04_fixed_ia64_patch_rse,unknown,success,0,1.796072319848463e-05,8,13,2
cvefixes__05_fixed_altivec_unavailable_exception,altivec_unavailable_exception,success,0,0.0003320919058751315,7,8,1
cvefixes__06_vulnerable_altivec_unavailable_exception,altivec_unavailable_exception,success,0,0.0003320919058751315,7,8,1
cvefixes__07_fixed_videobuf_vm_close,unknown,success,0,1.2162955727035296e-06,18,38,17
cvefixes__08_vulnerable_videobuf_vm_close,unknown,success,0,1.2162944358351524e-06,18,38,17
cvefixes__09_fixed_netlbl_cipsov4_add_common,netlbl_cipsov4_add_common,success,0,0.0003572004206944257,15,28,9
cvefixes__10_vulnerable_netlbl_cipsov4_add_common,netlbl_cipsov4_add_common,success,0,0.0036455155350267887,15,26,9
cvefixes__11_fixed_generic_perform_write,generic_perform_write,success,0,3.535852499680914e-08,44,88,5
cvefixes__12_vulnerable_generic_perform_write,generic_perform_write,success,0,2.9438192328257173e-08,44,88,5
cvefixes__13_fixed_pango_glyph_string_set_size,unknown,success,0,0.0004900019848719239,15,37,12
cvefixes__14_vulnerable_pango_glyph_string_set_size,unknown,success,0,0.0005512611824087799,12,35,12
cvefixes__15_fixed_decode_entities,while,success,0,5.931518171564676e-05,116,426,17
cvefixes__16_vulnerable_decode_entities,while,success,0,4.64283766632434e-05,116,414,17
cvefixes__17_vulnerable_eval_js,unknown,success,0,0.0,19,34,0
cvefixes__18_vulnerable_try_read_command,try_read_command,success,0,0.00244052242487669,73,190,66
cvefixes__19_fixed_try_read_network,try_read_network,success,0,6.361439017698797e-14,41,106,26
cvefixes__20_vulnerable_irssi_ssl_handshake,irssi_ssl_handshake,success,0,0.0013992891181260347,30,43,7
cwe119__01_vulnerable_03_vulnerable_30,if,success,1,1.0,43,70,41
cwe119__02_vulnerable_04_vulnerable_55,main,success,1,0.9979885816574097,6,6,4
cwe119__03_vulnerable_05_vulnerable_32,badSink,success,1,0.9999673366546631,10,8,4
cwe119__04_non_vulnerable_06_non-vulnerable_63,bad,success,0,0.0005112715298309922,12,14,8
cwe119__05_non_vulnerable_07_non-vulnerable_41,bad,success,0,0.0005112715298309922,14,16,5
cwe119__06_non_vulnerable_08_non-vulnerable_32,CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad,success,0,0.0005112715298309922,4,2,5
cwe119__07_non_vulnerable_09_non-vulnerable_83,bad,success,1,0.5337396860122681,20,23,18
cwe119__08_non_vulnerable_10_non-vulnerable_43,bad,success,1,0.9253555536270142,16,18,9
cwe119__09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.1622048318386078,5,4,4
cwe119__10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.1622048318386078,5,4,4
cwe119__11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.3324128985404968,5,4,4
cwe119__12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.3324128985404968,5,4,4
cwe119__13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.47094735503196716,7,5,8
cwe119__14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.47094735503196716,7,5,8
cwe119__15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.47094735503196716,7,5,8
cwe119__16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.47094735503196716,7,5,8
cwe119__17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.19318819046020508,5,4,3
cwe119__18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.19318819046020508,5,4,3
cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.2631213366985321,5,4,3
cwe119__20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,success,0,0.4551286995410919,7,5,7
devign__01_vulnerable_static_uint32_t_sh_serial_ioport_rea,sh_serial_ioport_read,success,0,3.894043038599193e-05,78,190,32
devign__02_vulnerable_static_int_tight_compress_data,tight_compress_data,success,0,7.848731797821529e-08,24,54,21
devign__03_vulnerable_void_ff_insert_pad,ff_insert_pad,success,0,0.0002570701763033867,14,36,13
devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de,dnxhd_decode_dct_block,success,0,0.07784903794527054,67,160,49
devign__05_non_vulnerable_static_int_slb_lookup,slb_lookup,success,1,0.9999996423721313,26,29,4
devign__06_non_vulnerable_static_void_test_qemu_strtosz_units,test_qemu_strtosz_units,success,0,0.001614067587070167,25,24,8
devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu,usb_bt_fifo_dequeue,success,0,6.548671941073826e-20,18,45,20
devign__08_non_vulnerable_build_tpm_tcpa,unknown,success,0,5.6560038501629606e-05,10,14,4
devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio,gen_store_conditional,success,0,0.0,7,10,0
devign__10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector,kvm_virtio_pci_vq_vector_release,success,0,6.079391567936909e-08,11,12,7
devign__11_non_vulnerable_vnc_display_setup_auth,if,success,0,3.628038669489797e-08,37,54,15
devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b,qtrle_decode_2n4bpp,success,0,3.4069010723669635e-08,36,131,35
devign__13_non_vulnerable_static_void_sctlr_write,sctlr_write,success,0,6.298020438499918e-10,7,9,2
devign__14_vulnerable_static_int_decode_mb_info,decode_mb_info,success,0,0.22351014614105225,66,217,57
devign__15_vulnerable_static_void_mm_rearm_timer,mm_rearm_timer,success,0,8.525628800271079e-06,9,10,2
devign__16_vulnerable_static_int_mxg_update_cache,mxg_update_cache,success,0,1.86682691527551e-09,16,41,16
