sample_id,action,strategy,seed,requested_count,applied_count,valid,baseline_nodes,baseline_edges,perturbed_nodes,perturbed_edges,delta_nodes,delta_edges,baseline_xfg_count,perturbed_xfg_count,baseline_probability,perturbed_probability,delta_probability,baseline_label,perturbed_label,flipped,runtime_ms,operations,validation_errors,error
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random,42,1,1,True,9,15,10,16,1,1,3,3,0.07134443521499634,0.07134443521499634,0.0,0,0,False,43.86501499993756,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [16, -1], ""removed_edges"": [], ""added_edges"": [[16, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 16""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_delete,random,42,1,1,True,9,15,8,11,-1,-4,3,3,0.07134443521499634,0.8140228986740112,0.7426784634590149,0,1,True,49.25810899976568,"[{""step"": 1, ""action"": ""node_delete"", ""target_nodes"": [1], ""removed_edges"": [[1, 12, ""d""], [1, 16, ""d""], [1, 19, ""d""], [1, 26, ""d""]], ""added_edges"": [], ""details"": ""deleted non-key node 1 and its incident edges""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_attribute_modify,random,42,1,1,True,9,15,9,15,0,0,3,3,0.07134443521499634,0.7198774218559265,0.6485329866409302,0,1,True,51.01913699991201,"[{""step"": 1, ""action"": ""node_attribute_modify"", ""target_nodes"": [1, 15], ""removed_edges"": [], ""added_edges"": [], ""details"": ""changed node 1 token source from line 1 to line 15""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,edge_add,random,42,1,1,True,9,15,9,16,0,1,3,3,0.07134443521499634,0.06649699807167053,-0.004847437143325806,0,0,False,64.09084300003087,"[{""step"": 1, ""action"": ""edge_add"", ""target_nodes"": [26, 16], ""removed_edges"": [], ""added_edges"": [[26, 16, ""d""]], ""details"": ""added d edge 26->16""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,edge_delete,random,42,1,1,True,9,15,9,14,0,-1,3,3,0.07134443521499634,0.07134443521499634,0.0,0,0,False,54.292038999847136,"[{""step"": 1, ""action"": ""edge_delete"", ""target_nodes"": [1, 16], ""removed_edges"": [[1, 16, ""d""]], ""added_edges"": [], ""details"": ""deleted d edge 1->16""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,edge_reconnect,random,42,1,1,True,9,15,9,15,0,0,3,3,0.07134443521499634,0.06455951929092407,-0.006784915924072266,0,0,False,43.51695800005473,"[{""step"": 1, ""action"": ""edge_reconnect"", ""target_nodes"": [15, 23, 1], ""removed_edges"": [[15, 23, ""c""]], ""added_edges"": [[15, 1, ""c""]], ""details"": ""reconnected c edge 15->23 to 15->1""}]",[],
cvefixes__02_fixed_dl_dst_substitute,node_add,random,42,1,1,True,24,113,25,114,1,1,4,4,1.0735370814529688e-08,1.0735370814529688e-08,0.0,0,0,False,40.83871199964051,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [11, -1], ""removed_edges"": [], ""added_edges"": [[11, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 11""}]",[],
cvefixes__02_fixed_dl_dst_substitute,node_delete,random,42,1,1,True,24,113,23,111,-1,-2,4,4,1.0735370814529688e-08,1.3080646787955175e-08,2.345275973425487e-09,0,0,False,34.983613999884255,"[{""step"": 1, ""action"": ""node_delete"", ""target_nodes"": [4], ""removed_edges"": [[1, 4, ""d""], [4, 31, ""d""]], ""added_edges"": [], ""details"": ""deleted non-key node 4 and its incident edges""}]",[],
cvefixes__02_fixed_dl_dst_substitute,node_attribute_modify,random,42,1,1,True,24,113,24,113,0,0,4,4,1.0735370814529688e-08,3.4034246532144152e-09,-7.3319461613152725e-09,0,0,False,45.214212000246334,"[{""step"": 1, ""action"": ""node_attribute_modify"", ""target_nodes"": [62, 59], ""removed_edges"": [], ""added_edges"": [], ""details"": ""changed node 62 token source from line 62 to line 59""}]",[],
cvefixes__02_fixed_dl_dst_substitute,edge_add,random,42,1,1,True,24,113,24,114,0,1,4,4,1.0735370814529688e-08,1.4328324304813123e-08,3.592953490283435e-09,0,0,False,36.56669200017859,"[{""step"": 1, ""action"": ""edge_add"", ""target_nodes"": [65, 71], ""removed_edges"": [], ""added_edges"": [[65, 71, ""d""]], ""details"": ""added d edge 65->71""}]",[],
