action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,60,0,-0.01296886425683506,-0.1683560013771057,0.002011418342590332,25.846153846153847,40.30769230769231,60,47
control_wrapper,60,0,-0.00510150623094715,-0.13646884262561798,0.23140420019626617,4.214285714285714,14.375,60,4
data_flow_alias,60,0,0.0032630365379935195,-0.09418565034866333,0.23140420019626617,19.321428571428573,43.732142857142854,60,4
dead_statement,60,1,-0.012090217653938305,-0.7345553636550903,0.23140420019626617,12.0,27.0,60,4
integer_overflow_guard,60,0,,,,,,60,60
pattern_dead_code,60,0,-0.0051082076716155505,-0.29425936937332153,0.20899434387683868,54.017857142857146,99.19642857142857,60,4
postcondition_validation,60,0,,,,,,60,60
range_clamp,60,0,-0.23103471812051876,-0.4702054766821675,0.004910346586257219,30.0,69.63636363636364,60,49
safe_source_substitution,60,0,-0.03225262274185582,-0.16447019577026367,2.0968598764877638e-14,8.714285714285714,16.142857142857142,60,53
sink_bound_guard,60,4,0.03386178017932023,-0.1320270597934723,0.15224596858024597,16.181818181818183,30.636363636363637,60,49
temp_variable_split,60,0,0.00038353990431701983,-0.014714181423187256,0.021838322281837463,8.0,17.846153846153847,60,34
wide_char_sink_guard,60,0,-0.0009819865226745605,-0.0009819865226745605,-0.0009819865226745605,18.0,34.0,60,59
xfg_targeted_dead_code,60,1,-0.018384917295627752,-0.7488196194171906,0.020084606599994004,15.714285714285714,35.357142857142854,60,4
