sample_id,action,strategy,seed,requested_count,applied_count,valid,baseline_nodes,baseline_edges,perturbed_nodes,perturbed_edges,delta_nodes,delta_edges,baseline_xfg_count,perturbed_xfg_count,baseline_probability,perturbed_probability,delta_probability,baseline_label,perturbed_label,flipped,runtime_ms,operations,validation_errors,error,target_mode,winner_xfg_category,winner_xfg_key_line,winner_xfg_probability,targeted_source_lines
00_codexglue_devign_9763,data_flow_alias,code_perturbation,,1,1,True,1152,2411,1170,2445,18,34,50,51,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,6590.080566000097,inserted 1 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,163
00_codexglue_devign_9763,data_flow_alias,code_perturbation,,2,2,True,1152,2411,1190,2478,38,67,50,52,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,7529.445841999973,inserted 2 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,"163,161"
00_codexglue_devign_9763,data_flow_alias,code_perturbation,,3,3,True,1152,2411,1210,2511,58,100,50,53,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,7302.424075999966,inserted 3 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,"163,161,159"
00_codexglue_devign_9763,data_flow_alias,code_perturbation,,5,5,True,1152,2411,1250,2573,98,162,50,55,0.0005112718208692968,0.0005368013516999781,2.5529530830681324e-05,0,0,False,7130.27420700007,inserted 5 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,"163,161,159,167,157"
00_codexglue_devign_9763,dead_statement,code_perturbation,,1,1,True,1152,2411,1164,2434,12,23,50,50,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,6793.911706000017,inserted 1 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,163
00_codexglue_devign_9763,dead_statement,code_perturbation,,2,2,True,1152,2411,1176,2457,24,46,50,50,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,7199.312368999927,inserted 2 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,163
00_codexglue_devign_9763,dead_statement,code_perturbation,,3,3,True,1152,2411,1188,2480,36,69,50,50,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,7368.597974999943,inserted 3 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,163
00_codexglue_devign_9763,dead_statement,code_perturbation,,5,5,True,1152,2411,1212,2526,60,115,50,50,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,8867.623120000077,inserted 5 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,163
00_codexglue_devign_9763,xfg_targeted_dead_code,code_perturbation,,1,1,True,1152,2411,1168,2443,16,32,50,50,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,6999.068842000042,inserted 1 unreachable no-op block(s) near XFG-relevant target lines nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,163
00_codexglue_devign_9763,xfg_targeted_dead_code,code_perturbation,,2,2,True,1152,2411,1184,2475,32,64,50,50,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,6748.2920820000345,inserted 2 unreachable no-op block(s) near XFG-relevant target lines nearest baseline winner-XFG key line 163,,,winner-xfg,arith,163,0.0005112718208692968,"163,173"
