sample_id,source_file,action,target_mode,winner_xfg_category,winner_xfg_key_line,winner_xfg_probability,targeted_source_lines,count,applied_count,generation_status,run_status,flipped,base_label,variant_label,base_probability,variant_probability,delta_probability,base_nodes,variant_nodes,delta_nodes,base_edges,variant_edges,delta_edges,baseline_run_dir,variant_run_dir,variant_file,notes,error
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,data_flow_alias,winner-xfg,arith,163,0.0005112718208692968,163,1,1,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1170,18,2411,2445,34,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__data_flow_alias__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__data_flow_alias__c1.c,inserted 1 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,data_flow_alias,winner-xfg,arith,163,0.0005112718208692968,"163,161",2,2,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1190,38,2411,2478,67,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__data_flow_alias__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__data_flow_alias__c2.c,inserted 2 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,data_flow_alias,winner-xfg,arith,163,0.0005112718208692968,"163,161,159",3,3,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1210,58,2411,2511,100,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__data_flow_alias__c3,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__data_flow_alias__c3.c,inserted 3 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,data_flow_alias,winner-xfg,arith,163,0.0005112718208692968,"163,161,159,167,157",5,5,generated,ran,False,0,0,0.0005112718208692968,0.0005368013516999781,2.5529530830681324e-05,1152,1250,98,2411,2573,162,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__data_flow_alias__c5,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__data_flow_alias__c5.c,inserted 5 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,dead_statement,winner-xfg,arith,163,0.0005112718208692968,163,1,1,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1164,12,2411,2434,23,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__dead_statement__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__dead_statement__c1.c,inserted 1 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,dead_statement,winner-xfg,arith,163,0.0005112718208692968,163,2,2,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1176,24,2411,2457,46,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__dead_statement__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__dead_statement__c2.c,inserted 2 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,dead_statement,winner-xfg,arith,163,0.0005112718208692968,163,3,3,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1188,36,2411,2480,69,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__dead_statement__c3,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__dead_statement__c3.c,inserted 3 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,dead_statement,winner-xfg,arith,163,0.0005112718208692968,163,5,5,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1212,60,2411,2526,115,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__dead_statement__c5,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__dead_statement__c5.c,inserted 5 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,xfg_targeted_dead_code,winner-xfg,arith,163,0.0005112718208692968,163,1,1,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1168,16,2411,2443,32,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__xfg_targeted_dead_code__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__xfg_targeted_dead_code__c1.c,inserted 1 unreachable no-op block(s) near XFG-relevant target lines nearest baseline winner-XFG key line 163,
00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\devign\00_codexglue_devign_9763.c,xfg_targeted_dead_code,winner-xfg,arith,163,0.0005112718208692968,"163,173",2,2,generated,ran,False,0,0,0.0005112718208692968,0.0005112718208692968,0.0,1152,1184,32,2411,2475,64,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\baseline\00_codexglue_devign_9763,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\runs\perturbed\00_codexglue_devign_9763__xfg_targeted_dead_code__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\run_20260723_code_devign_winner_xfg_round1_retry1\sources\00_codexglue_devign_9763__xfg_targeted_dead_code__c2.c,inserted 2 unreachable no-op block(s) near XFG-relevant target lines nearest baseline winner-XFG key line 163,
