action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,12,1,-0.20106142954108464,-0.8454893417656422,0.04638093709945679,32.5,57.25,12,8
control_wrapper,34,0,-0.04348185176902568,-0.4448472121730447,0.051141440868377686,-24.757575757575758,-43.84848484848485,34,1
data_flow_alias,33,1,-0.043339593688046144,-0.8500496558845043,0.0013713336229557171,44.6875,89.875,33,1
dead_statement,36,1,0.005007747270613571,-0.4693361222743988,0.2185887023806572,32.22857142857143,64.05714285714286,36,1
integer_overflow_guard,10,0,,,,,,10,10
pattern_dead_code,30,1,-0.06391357304484974,-0.46933627128601074,0.002546792515204288,128.89655172413794,236.79310344827587,30,1
postcondition_validation,10,0,,,,,,10,10
range_clamp,15,0,-5.442614203765572e-07,-2.173961320295348e-06,0.0,48.75,112.0,15,7
safe_source_substitution,18,0,-0.05318749403232801,-0.16454005241394043,-1.2204719457287183e-08,18.90909090909091,41.0,18,7
sink_bound_guard,15,0,-2.2952959932709405e-07,-1.039980816130992e-06,1.2186241882261584e-07,16.75,35.375,15,7
temp_variable_split,15,0,-0.017656397342193486,-0.07101828674785793,0.0006680370424874127,-34.5,-94.875,15,7
wide_char_sink_guard,10,0,,,,,,10,10
xfg_targeted_dead_code,32,1,-0.05148152125016864,-0.5411051213741302,0.021392762660980225,37.61290322580645,86.48387096774194,32,1
