command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/baseline/devign__11_non_vulnerable_vnc_display_setup_auth/_work/source/11_non_vulnerable_vnc_display_setup_auth.c								
ANR	2	Function	vnc_display_setup_auth	1:0:0:2839							
ANR	3	FunctionDef	"vnc_display_setup_auth (VncDisplay * vs , bool password , bool sasl , bool tls , bool x509)"		2	0					
ANR	4	CompoundStatement		11:0:183:2839	2	0					
ANR	5	IfStatement	if ( password )		2	0					
ANR	6	Condition	password	81:8:1050:1057	2	0	True				
ANR	7	Identifier	password		2	0					
ANR	8	CompoundStatement		71:18:876:876	2	1					
ANR	9	IfStatement	if ( tls )		2	0					
ANR	10	Condition	tls	83:12:1075:1077	2	0	True				
ANR	11	Identifier	tls		2	0					
ANR	12	CompoundStatement		73:17:896:896	2	1					
ANR	13	ExpressionStatement	vs -> auth = VNC_AUTH_VENCRYPT	85:12:1095:1123	2	0	True				
ANR	14	AssignmentExpression	vs -> auth = VNC_AUTH_VENCRYPT		2	0		=			
ANR	15	PtrMemberAccess	vs -> auth		2	0					
ANR	16	Identifier	vs		2	0					
ANR	17	Identifier	auth		2	1					
ANR	18	Identifier	VNC_AUTH_VENCRYPT		2	1					
ANR	19	IfStatement	if ( x509 )		2	1					
ANR	20	Condition	x509	87:16:1142:1145	2	0	True				
ANR	21	Identifier	x509		2	0					
ANR	22	CompoundStatement		77:22:964:964	2	1					
ANR	23	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with x509 password auth\\n"" )"	89:16:1167:1229	2	0	True				
ANR	24	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with x509 password auth\\n"" )"		2	0					
ANR	25	Callee	VNC_DEBUG		2	0					
ANR	26	Identifier	VNC_DEBUG		2	0					
ANR	27	ArgumentList	"""Initializing VNC server with x509 password auth\\n"""		2	1					
ANR	28	Argument	"""Initializing VNC server with x509 password auth\\n"""		2	0					
ANR	29	PrimaryExpression	"""Initializing VNC server with x509 password auth\\n"""		2	0					
ANR	30	ExpressionStatement	vs -> subauth = VNC_AUTH_VENCRYPT_X509VNC	91:16:1248:1287	2	1	True				
ANR	31	AssignmentExpression	vs -> subauth = VNC_AUTH_VENCRYPT_X509VNC		2	0		=			
ANR	32	PtrMemberAccess	vs -> subauth		2	0					
ANR	33	Identifier	vs		2	0					
ANR	34	Identifier	subauth		2	1					
ANR	35	Identifier	VNC_AUTH_VENCRYPT_X509VNC		2	1					
ANR	36	ElseStatement	else		2	0					
ANR	37	CompoundStatement		83:19:1125:1125	2	0					
ANR	38	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with TLS password auth\\n"" )"	95:16:1328:1389	2	0	True				
ANR	39	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with TLS password auth\\n"" )"		2	0					
ANR	40	Callee	VNC_DEBUG		2	0					
ANR	41	Identifier	VNC_DEBUG		2	0					
ANR	42	ArgumentList	"""Initializing VNC server with TLS password auth\\n"""		2	1					
ANR	43	Argument	"""Initializing VNC server with TLS password auth\\n"""		2	0					
ANR	44	PrimaryExpression	"""Initializing VNC server with TLS password auth\\n"""		2	0					
ANR	45	ExpressionStatement	vs -> subauth = VNC_AUTH_VENCRYPT_TLSVNC	97:16:1408:1446	2	1	True				
ANR	46	AssignmentExpression	vs -> subauth = VNC_AUTH_VENCRYPT_TLSVNC		2	0		=			
ANR	47	PtrMemberAccess	vs -> subauth		2	0					
ANR	48	Identifier	vs		2	0					
ANR	49	Identifier	subauth		2	1					
ANR	50	Identifier	VNC_AUTH_VENCRYPT_TLSVNC		2	1					
ANR	51	ElseStatement	else		2	0					
ANR	52	CompoundStatement		91:15:1295:1295	2	0					
ANR	53	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with password auth\\n"" )"	103:12:1494:1551	2	0	True				
ANR	54	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with password auth\\n"" )"		2	0					
ANR	55	Callee	VNC_DEBUG		2	0					
ANR	56	Identifier	VNC_DEBUG		2	0					
ANR	57	ArgumentList	"""Initializing VNC server with password auth\\n"""		2	1					
ANR	58	Argument	"""Initializing VNC server with password auth\\n"""		2	0					
ANR	59	PrimaryExpression	"""Initializing VNC server with password auth\\n"""		2	0					
ANR	60	ExpressionStatement	vs -> auth = VNC_AUTH_VNC	105:12:1566:1589	2	1	True				
ANR	61	AssignmentExpression	vs -> auth = VNC_AUTH_VNC		2	0		=			
ANR	62	PtrMemberAccess	vs -> auth		2	0					
ANR	63	Identifier	vs		2	0					
ANR	64	Identifier	auth		2	1					
ANR	65	Identifier	VNC_AUTH_VNC		2	1					
ANR	66	ExpressionStatement	vs -> subauth = VNC_AUTH_INVALID	107:12:1604:1634	2	2	True				
ANR	67	AssignmentExpression	vs -> subauth = VNC_AUTH_INVALID		2	0		=			
ANR	68	PtrMemberAccess	vs -> subauth		2	0					
ANR	69	Identifier	vs		2	0					
ANR	70	Identifier	subauth		2	1					
ANR	71	Identifier	VNC_AUTH_INVALID		2	1					
ANR	72	ElseStatement	else		2	0					
ANR	73	IfStatement	if ( sasl )		2	0					
ANR	74	Condition	sasl	111:15:1663:1666	2	0	True				
ANR	75	Identifier	sasl		2	0					
ANR	76	CompoundStatement		101:21:1485:1485	2	1					
ANR	77	IfStatement	if ( tls )		2	0					
ANR	78	Condition	tls	113:12:1684:1686	2	0	True				
ANR	79	Identifier	tls		2	0					
ANR	80	CompoundStatement		103:17:1505:1505	2	1					
ANR	81	ExpressionStatement	vs -> auth = VNC_AUTH_VENCRYPT	115:12:1704:1732	2	0	True				
ANR	82	AssignmentExpression	vs -> auth = VNC_AUTH_VENCRYPT		2	0		=			
ANR	83	PtrMemberAccess	vs -> auth		2	0					
ANR	84	Identifier	vs		2	0					
ANR	85	Identifier	auth		2	1					
ANR	86	Identifier	VNC_AUTH_VENCRYPT		2	1					
ANR	87	IfStatement	if ( x509 )		2	1					
ANR	88	Condition	x509	117:16:1751:1754	2	0	True				
ANR	89	Identifier	x509		2	0					
ANR	90	CompoundStatement		107:22:1573:1573	2	1					
ANR	91	ExpressionStatement	"VNC_DEBUG ( ""Initializing VNC server with x509 SASL auth\\n"" )"	119:16:1776:1834	2	0	True				
ANR	92	CallExpression	"VNC_DEBUG ( ""Initializing VNC server with x509 SASL auth\\n"" )"		2	0					
ANR	93	Callee	VNC_DEBUG		2	0					
ANR	94	Identifier	VNC_DEBUG		2	0					
