command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__03_vulnerable_void_ff_insert_pad__range_clamp__c1/_work/source/devign__03_vulnerable_void_ff_insert_pad__range_clamp__c1.c								
ANR	2	Function	ff_insert_pad	1:0:0:990							
ANR	3	FunctionDef	"ff_insert_pad (unsigned idx , unsigned * count , size_t padidx_off , AVFilterPad * * pads , AVFilterLink * * * links , AVFilterPad * newpad)"		2	0					
ANR	4	CompoundStatement		7:0:174:990	2	0					
ANR	5	IdentifierDeclStatement	unsigned i ;	9:4:181:191	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	unsigned		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	ExpressionStatement	"idx = FFMIN ( idx , * count )"	13:4:200:224	2	1	True				
ANR	10	AssignmentExpression	"idx = FFMIN ( idx , * count )"		2	0		=			
ANR	11	Identifier	idx		2	0					
ANR	12	CallExpression	"FFMIN ( idx , * count )"		2	1					
ANR	13	Callee	FFMIN		2	0					
ANR	14	Identifier	FFMIN		2	0					
ANR	15	ArgumentList	idx		2	1					
ANR	16	Argument	idx		2	0					
ANR	17	Identifier	idx		2	0					
ANR	18	Argument	* count		2	1					
ANR	19	UnaryOperationExpression	* count		2	0					
ANR	20	UnaryOperator	*		2	0					
ANR	21	Identifier	count		2	1					
ANR	22	ExpressionStatement	"* pads = av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"	17:4:233:298	2	2	True				
ANR	23	AssignmentExpression	"* pads = av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"		2	0		=			
ANR	24	UnaryOperationExpression	* pads		2	0					
ANR	25	UnaryOperator	*		2	0					
ANR	26	Identifier	pads		2	1					
ANR	27	CallExpression	"av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"		2	1					
ANR	28	Callee	av_realloc		2	0					
ANR	29	Identifier	av_realloc		2	0					
ANR	30	ArgumentList	* pads		2	1					
ANR	31	Argument	* pads		2	0					
ANR	32	UnaryOperationExpression	* pads		2	0					
ANR	33	UnaryOperator	*		2	0					
ANR	34	Identifier	pads		2	1					
ANR	35	Argument	sizeof ( AVFilterPad ) * ( * count + 1 )		2	1					
ANR	36	MultiplicativeExpression	sizeof ( AVFilterPad ) * ( * count + 1 )		2	0		*			
ANR	37	SizeofExpression	sizeof ( AVFilterPad )		2	0					
ANR	38	Sizeof	sizeof		2	0					
ANR	39	SizeofOperand	AVFilterPad		2	1					
ANR	40	AdditiveExpression	* count + 1		2	1		+			
ANR	41	UnaryOperationExpression	* count		2	0					
ANR	42	UnaryOperator	*		2	0					
ANR	43	Identifier	count		2	1					
ANR	44	PrimaryExpression	1		2	1					
ANR	45	ExpressionStatement	"* links = av_realloc ( * links , sizeof ( AVFilterLink * ) * ( * count + 1 ) )"	19:4:305:370	2	3	True				
ANR	46	AssignmentExpression	"* links = av_realloc ( * links , sizeof ( AVFilterLink * ) * ( * count + 1 ) )"		2	0		=			
ANR	47	UnaryOperationExpression	* links		2	0					
ANR	48	UnaryOperator	*		2	0					
ANR	49	Identifier	links		2	1					
ANR	50	CallExpression	"av_realloc ( * links , sizeof ( AVFilterLink * ) * ( * count + 1 ) )"		2	1					
ANR	51	Callee	av_realloc		2	0					
ANR	52	Identifier	av_realloc		2	0					
ANR	53	ArgumentList	* links		2	1					
ANR	54	Argument	* links		2	0					
ANR	55	UnaryOperationExpression	* links		2	0					
ANR	56	UnaryOperator	*		2	0					
ANR	57	Identifier	links		2	1					
ANR	58	Argument	sizeof ( AVFilterLink * ) * ( * count + 1 )		2	1					
ANR	59	MultiplicativeExpression	sizeof ( AVFilterLink * ) * ( * count + 1 )		2	0		*			
ANR	60	SizeofExpression	sizeof ( AVFilterLink * )		2	0					
ANR	61	Sizeof	sizeof		2	0					
ANR	62	SizeofOperand	AVFilterLink *		2	1					
ANR	63	AdditiveExpression	* count + 1		2	1		+			
ANR	64	UnaryOperationExpression	* count		2	0					
ANR	65	UnaryOperator	*		2	0					
ANR	66	Identifier	count		2	1					
ANR	67	PrimaryExpression	1		2	1					
ANR	68	IdentifierDeclStatement	int dwk_clamped_value_1 = ( int ) ( sizeof ( AVFilterPad ) * ( * count - idx ) ) ;	21:4:377:448	2	4	True				
ANR	69	IdentifierDecl	dwk_clamped_value_1 = ( int ) ( sizeof ( AVFilterPad ) * ( * count - idx ) )		2	0					
ANR	70	IdentifierDeclType	int		2	0					
ANR	71	Identifier	dwk_clamped_value_1		2	1					
ANR	72	AssignmentExpression	dwk_clamped_value_1 = ( int ) ( sizeof ( AVFilterPad ) * ( * count - idx ) )		2	2		=			
ANR	73	Identifier	dwk_clamped_value_1		2	0					
ANR	74	CastExpression	( int ) ( sizeof ( AVFilterPad ) * ( * count - idx ) )		2	1					
ANR	75	CastTarget	int		2	0					
ANR	76	MultiplicativeExpression	sizeof ( AVFilterPad ) * ( * count - idx )		2	1		*			
ANR	77	SizeofExpression	sizeof ( AVFilterPad )		2	0					
ANR	78	Sizeof	sizeof		2	0					
ANR	79	SizeofOperand	AVFilterPad		2	1					
ANR	80	AdditiveExpression	* count - idx		2	1		-			
ANR	81	UnaryOperationExpression	* count		2	0					
ANR	82	UnaryOperator	*		2	0					
ANR	83	Identifier	count		2	1					
ANR	84	Identifier	idx		2	1					
ANR	85	IfStatement	if ( dwk_clamped_value_1 < 0 )		2	5					
ANR	86	Condition	dwk_clamped_value_1 < 0	22:8:458:480	2	0	True				
ANR	87	RelationalExpression	dwk_clamped_value_1 < 0		2	0		<			
ANR	88	Identifier	dwk_clamped_value_1		2	0					
ANR	89	PrimaryExpression	0		2	1					
ANR	90	CompoundStatement		16:33:308:308	2	1					
ANR	91	ExpressionStatement	dwk_clamped_value_1 = 0	23:8:493:516	2	0	True				
ANR	92	AssignmentExpression	dwk_clamped_value_1 = 0		2	0		=			
ANR	93	Identifier	dwk_clamped_value_1		2	0					
ANR	94	PrimaryExpression	0		2	1					
ANR	95	IfStatement	if ( dwk_clamped_value_1 > 4096 )		2	6					
