sample_id,action,strategy,seed,requested_count,applied_count,valid,baseline_nodes,baseline_edges,perturbed_nodes,perturbed_edges,delta_nodes,delta_edges,baseline_xfg_count,perturbed_xfg_count,baseline_probability,perturbed_probability,delta_probability,baseline_label,perturbed_label,flipped,runtime_ms,operations,validation_errors,error,target_mode,winner_xfg_category,winner_xfg_key_line,winner_xfg_probability,targeted_source_lines
01_vulnerable_989,data_flow_alias,code_perturbation,,1,1,True,5566,11864,5586,11901,20,37,201,202,1.0,1.0,0.0,1,1,False,8418.169902000045,inserted 1 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,990
01_vulnerable_989,data_flow_alias,code_perturbation,,2,2,True,5566,11864,5606,11938,40,74,201,203,1.0,1.0,0.0,1,1,False,8860.298669999793,inserted 2 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,"990,991"
01_vulnerable_989,data_flow_alias,code_perturbation,,3,3,True,5566,11864,5626,11975,60,111,201,204,1.0,1.0,0.0,1,1,False,8128.607541999827,inserted 3 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,"990,991,992"
01_vulnerable_989,data_flow_alias,code_perturbation,,5,5,True,5566,11864,5666,12051,100,187,201,206,1.0,1.0,0.0,1,1,False,7930.450143000144,inserted 5 alias-preserving data-flow no-op(s) near call arguments nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,"990,991,992,994,996"
01_vulnerable_989,dead_statement,code_perturbation,,1,1,True,5566,11864,5578,11891,12,27,201,201,1.0,1.0,0.0,1,1,False,7931.845807999707,inserted 1 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,989
01_vulnerable_989,dead_statement,code_perturbation,,2,2,True,5566,11864,5590,11918,24,54,201,201,1.0,1.0,0.0,1,1,False,7344.404362000205,inserted 2 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,989
01_vulnerable_989,dead_statement,code_perturbation,,3,3,True,5566,11864,5602,11945,36,81,201,201,1.0,1.0,0.0,1,1,False,7059.50033299996,inserted 3 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,989
01_vulnerable_989,dead_statement,code_perturbation,,5,5,True,5566,11864,5626,11999,60,135,201,201,1.0,1.0,0.0,1,1,False,7112.208312999883,inserted 5 harmless dummy integer statement pair(s) nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,989
01_vulnerable_989,xfg_targeted_dead_code,code_perturbation,,1,1,True,5566,11864,5582,11900,16,36,201,201,1.0,1.0,0.0,1,1,False,7079.9328369998875,inserted 1 unreachable no-op block(s) near XFG-relevant target lines nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,989
01_vulnerable_989,xfg_targeted_dead_code,code_perturbation,,2,2,True,5566,11864,5598,11936,32,72,201,201,1.0,1.0,0.0,1,1,False,7408.189880999998,inserted 2 unreachable no-op block(s) near XFG-relevant target lines nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,"989,987"
01_vulnerable_989,xfg_targeted_dead_code,code_perturbation,,3,3,True,5566,11864,5614,11972,48,108,201,201,1.0,1.0,0.0,1,1,False,6928.196850999939,inserted 3 unreachable no-op block(s) near XFG-relevant target lines nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,"989,987,991"
01_vulnerable_989,xfg_targeted_dead_code,code_perturbation,,5,5,True,5566,11864,5646,12044,80,180,201,201,1.0,1.0,0.0,1,1,False,6816.562456000156,inserted 5 unreachable no-op block(s) near XFG-relevant target lines nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,"989,987,991,992,993"
01_vulnerable_989,range_clamp,code_perturbation,,1,1,True,5566,11864,5596,11932,30,68,201,201,1.0,1.0,0.0,1,1,False,7284.398517999762,clamped 1 sensitive sink size/count argument(s) through bounded local variables nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,994
01_vulnerable_989,range_clamp,code_perturbation,,2,2,True,5566,11864,5630,12004,64,140,201,202,1.0,1.0,0.0,1,1,False,7080.837223999879,clamped 2 sensitive sink size/count argument(s) through bounded local variables nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,"994,841"
01_vulnerable_989,range_clamp,code_perturbation,,3,3,True,5566,11864,5229,11674,-337,-190,201,191,1.0,0.007048373576253653,-0.9929516264237463,1,0,True,7158.164936000048,clamped 3 sensitive sink size/count argument(s) through bounded local variables nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,"994,841,811"
01_vulnerable_989,safe_source_substitution,code_perturbation,,1,1,True,5566,11864,5574,11879,8,15,201,201,1.0,1.0,0.0,1,1,False,7438.5899680000875,replaced 1 nested pointer source expression(s) with guarded fallback expressions nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,875
01_vulnerable_989,safe_source_substitution,code_perturbation,,2,1,True,5566,11864,5574,11879,8,15,201,201,1.0,1.0,0.0,1,1,False,7343.4731359998295,replaced 1 nested pointer source expression(s) with guarded fallback expressions nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,875
01_vulnerable_989,sink_bound_guard,code_perturbation,,1,1,True,5566,11864,5576,11883,10,19,201,201,1.0,1.0,0.0,1,1,False,6764.937381999971,inserted 1 early-return bound guard(s) before sensitive sink calls nearest baseline winner-XFG key line 989,,,winner-xfg,array,989,1.0,994
