action,attempted,successful,failed,flips,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_runtime_ms
array_index_bound_guard,15,14,1,0,0.0002875668661934989,0.0002876009259905134,0.002013087272644043,13318.992696999983
control_wrapper,20,20,0,0,-0.004273608326911926,0.004584267735481262,0.02636009454727173,10643.725369499816
data_flow_alias,19,19,0,0,-8.564873745566921e-05,0.000324299460963199,0.003799140453338623,12852.941120000052
dead_statement,20,20,0,0,-0.0011305004358291627,0.001225563883781433,0.011780321598052979,10864.74424434998
integer_overflow_guard,5,0,5,0,,,,
pattern_dead_code,20,20,0,0,0.0,0.0,0.0,10539.202465949984
postcondition_validation,5,0,5,0,,,,
range_clamp,13,11,2,1,-0.09026832967488603,0.09026832967488603,0.9929516264237463,15145.067055818181
safe_source_substitution,6,2,4,0,0.0,0.0,0.0,7391.0315519999585
sink_bound_guard,14,12,2,0,0.0,0.0,0.0,14505.317177416713
temp_variable_split,14,12,2,2,-0.15605204567934075,0.15605204567934075,0.9811680857092142,15208.835689583262
wide_char_sink_guard,7,3,4,0,-0.0009837746620178223,0.0009837746620178223,0.0009837746620178223,4957.809521666604
xfg_targeted_dead_code,20,20,0,0,0.0,0.0,0.0,10601.190147700048
