action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,15,0,0.0002875668661934989,-1.1920928955078125e-07,0.002013087272644043,58.5,97.92857142857143,15,1
control_wrapper,20,0,-0.004273608326911926,-0.02636009454727173,0.0016673803329467773,10.6,25.85,20,0
data_flow_alias,19,0,-8.564873745566921e-05,-0.003799140453338623,0.0007557272911071777,50.10526315789474,98.89473684210526,19,0
dead_statement,20,0,-0.0011305004358291627,-0.011780321598052979,0.0009506344795227051,33.0,74.25,20,0
integer_overflow_guard,5,0,,,,,,5,5
pattern_dead_code,20,0,0.0,0.0,0.0,145.75,267.65,20,0
postcondition_validation,5,0,,,,,,5,5
range_clamp,13,1,-0.09026832967488603,-0.9929516264237463,0.0,24.454545454545453,102.45454545454545,13,2
safe_source_substitution,6,0,0.0,0.0,0.0,8.0,15.0,6,4
sink_bound_guard,14,0,0.0,0.0,0.0,26.916666666666668,60.5,14,2
temp_variable_split,14,2,-0.15605204567934075,-0.9811680857092142,0.0,-193.25,-382.75,14,2
wide_char_sink_guard,7,0,-0.0009837746620178223,-0.0009837746620178223,-0.0009837746620178223,30.0,56.666666666666664,7,4
xfg_targeted_dead_code,20,0,0.0,0.0,0.0,42.4,95.25,20,0
