family,budget,common_sample_seed_keys,common_samples,scored_action_variants,attack_successes,variant_attack_success_rate,any_action_success_keys,any_action_success_rate
random_graph,1,300,30,1800,20,0.011111111111111112,18,0.06
winner_xfg,1,300,30,900,80,0.08888888888888889,50,0.16666666666666666
random_graph,3,300,30,1712,47,0.027453271028037383,36,0.12
winner_xfg,3,300,30,900,130,0.14444444444444443,90,0.3
random_graph,5,300,30,1668,64,0.03836930455635491,45,0.15
winner_xfg,5,300,30,900,110,0.12222222222222222,80,0.26666666666666666
random_graph,7,300,30,1649,79,0.04790782292298363,49,0.16333333333333333
winner_xfg,7,300,30,900,120,0.13333333333333333,90,0.3
random_graph,9,300,30,1624,82,0.050492610837438424,57,0.19
winner_xfg,9,300,30,900,110,0.12222222222222222,80,0.26666666666666666
random_graph,11,300,30,1614,76,0.04708798017348203,53,0.17666666666666667
winner_xfg,11,300,30,900,100,0.1111111111111111,70,0.23333333333333334
random_graph,13,300,30,1587,89,0.056080655324511654,58,0.19333333333333333
winner_xfg,13,300,30,900,90,0.1,70,0.23333333333333334
random_graph,15,300,30,1568,99,0.06313775510204081,68,0.22666666666666666
winner_xfg,15,300,30,900,90,0.1,70,0.23333333333333334
random_graph,20,300,30,1557,115,0.07385998715478484,79,0.2633333333333333
winner_xfg,20,300,30,900,120,0.13333333333333333,80,0.26666666666666666
random_graph,25,300,30,1528,118,0.07722513089005235,80,0.26666666666666666
winner_xfg,25,300,30,900,120,0.13333333333333333,80,0.26666666666666666
