"sample","function","status","label","prob","nodes","edges"
"00_codexglue_devign_9763","decode_frame_common","success","0","0.000511271529830992","1152","2411"
"01_codexglue_devign_10453","uhci_handle_td","success","0","0.0736880302429199","426","932"
"02_codexglue_devign_15133","unknown","success","0","9.44915545243415E-16","192","490"
"03_codexglue_devign_14215","gen_cas_asi","success","0","0","113","215"
"04_codexglue_devign_13727","emulate_spapr_hypercall","success","0","0.00257149920798838","45","77"
"05_codexglue_devign_6599","preallocate","success","0","4.59904322269722E-06","243","490"
"06_codexglue_devign_15513","tta_decode_init","success","0","5.7341643696418E-05","67","130"
"07_codexglue_devign_4012","mpeg1_decode_sequence","success","1","0.899058520793915","698","1523"
"08_codexglue_devign_17947","vmdk_parent_open","success","0","1.50748391547495E-08","263","536"
"09_codexglue_devign_25916","spr_write_ibatl","success","0","0.456265985965729","44","80"
