action,budget,seed_count,count,flips,attack_eligible,attack_successes,attack_success_rate,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,mean_applied_count,attempted,failed
node_add,1,10,580,0,300,0,0.0,-0.0017473554873495205,-0.3833557814359665,0.367502068169415,1.0,1.0,1.0,580,0
node_add,3,10,580,2,300,2,0.006666666666666667,0.0060201964614073735,-0.6003481447696686,0.7589388564229012,3.0,3.0,3.0,580,0
node_add,5,10,580,4,300,4,0.013333333333333334,-0.00388445731779142,-0.6962780952453613,0.8481655195355415,5.0,5.0,5.0,580,0
node_delete,1,10,580,11,300,4,0.013333333333333334,-0.011514900508731841,-0.9253554540248459,0.9273536251857877,-1.0,-2.7810344827586206,1.0,580,0
node_delete,3,10,442,29,236,8,0.03389830508474576,0.008047983470047619,-0.925355553627002,0.9529990600422025,-2.97737556561086,-9.273755656108598,2.97737556561086,580,138
node_delete,5,10,431,36,232,15,0.06465517241379311,0.015275794879128078,-0.925355553627002,0.9114070581272244,-4.837587006960557,-14.895591647331786,4.837587006960557,580,149
node_attribute_modify,1,10,580,10,300,4,0.013333333333333334,-0.00866728855788433,-0.9253554540174349,0.6485330313444138,0.0,0.0,1.0,580,0
node_attribute_modify,3,10,580,38,300,10,0.03333333333333333,-0.018815199657750296,-0.9985933568095788,0.8854416059330106,0.0,0.0,3.0,580,0
node_attribute_modify,5,10,580,38,300,16,0.05333333333333334,-0.03707194778268539,-0.9985933568095788,0.8845297172665596,0.0,0.0,5.0,580,0
edge_add,1,10,580,17,300,6,0.02,-0.013966141020776052,-0.9253554540174349,0.38366597529966384,0.0,1.0,1.0,580,0
edge_add,3,10,580,33,300,12,0.04,-0.018052864186094135,-0.9932221374474466,0.8146099085400849,0.0,3.0,3.0,580,0
edge_add,5,10,580,33,300,9,0.03,-0.04020821451086813,-0.9993421826511621,0.8370496267865448,0.0,5.0,5.0,580,0
edge_delete,1,10,580,2,300,2,0.006666666666666667,0.012094579915736004,-0.5571020245552063,0.6745801477736677,0.0,-1.0,1.0,580,0
edge_delete,3,10,540,12,277,8,0.02888086642599278,-0.021219995307278913,-0.9253554540174349,0.9529990600422025,0.0,-3.0,3.0,580,40
edge_delete,5,10,444,24,237,13,0.05485232067510549,-0.008374901840487043,-0.9755573067814112,0.9529990600422025,0.0,-5.0,5.0,580,136
edge_reconnect,1,10,580,11,300,4,0.013333333333333334,-0.017798968937494993,-0.9713499527424574,0.30874256789684296,0.0,0.0,1.0,580,0
edge_reconnect,3,10,578,21,299,7,0.023411371237458192,-0.037421463228394555,-0.9688381217420101,0.8944136549107498,0.0,0.0,3.0,580,2
edge_reconnect,5,10,578,25,299,7,0.023411371237458192,-0.05884010686074489,-0.9639779105782509,0.39270924618904246,0.0,0.0,5.0,580,2
