sample_id,action,method_family,strategy,budget,seed,requested_count,applied_count,budget_fully_applied,nested_prefix_verified,valid,true_label,baseline_correct,baseline_eligible,baseline_nodes,baseline_edges,perturbed_nodes,perturbed_edges,delta_nodes,delta_edges,baseline_xfg_count,perturbed_xfg_count,baseline_probability,perturbed_probability,delta_probability,baseline_label,perturbed_label,flipped,attack_success,prediction_status,skipped_empty_xfg,runtime_ms,operations,validation_errors,error
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,1,7,1,1,True,True,True,1,False,False,9,15,10,16,1,1,3,3,0.07134445011615753,0.06524857133626938,-0.006095878779888153,0,0,False,,ok,0,17.037405999872135,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [24, -1], ""removed_edges"": [], ""added_edges"": [[24, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 24""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,3,7,3,3,True,True,True,1,False,False,9,15,12,18,3,3,3,3,0.07134445011615753,0.14276424050331116,0.07141979038715363,0,0,False,,ok,0,14.209996000090541,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [24, -1], ""removed_edges"": [], ""added_edges"": [[24, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 24""}, {""step"": 2, ""action"": ""node_add"", ""target_nodes"": [19, -2], ""removed_edges"": [], ""added_edges"": [[19, -2, ""d""]], ""details"": ""added synthetic node -2 using source line 19""}, {""step"": 3, ""action"": ""node_add"", ""target_nodes"": [26, -3], ""removed_edges"": [], ""added_edges"": [[26, -3, ""d""]], ""details"": ""added synthetic node -3 using source line 26""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,5,7,5,5,True,True,True,1,False,False,9,15,14,20,5,5,3,3,0.07134445011615753,0.14149993658065796,0.07015548646450043,0,0,False,,ok,0,17.303141999946092,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [24, -1], ""removed_edges"": [], ""added_edges"": [[24, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 24""}, {""step"": 2, ""action"": ""node_add"", ""target_nodes"": [19, -2], ""removed_edges"": [], ""added_edges"": [[19, -2, ""d""]], ""details"": ""added synthetic node -2 using source line 19""}, {""step"": 3, ""action"": ""node_add"", ""target_nodes"": [26, -3], ""removed_edges"": [], ""added_edges"": [[26, -3, ""d""]], ""details"": ""added synthetic node -3 using source line 26""}, {""step"": 4, ""action"": ""node_add"", ""target_nodes"": [-2, -4], ""removed_edges"": [], ""added_edges"": [[-2, -4, ""d""]], ""details"": ""added synthetic node -4 using source line 19""}, {""step"": 5, ""action"": ""node_add"", ""target_nodes"": [15, -5], ""removed_edges"": [], ""added_edges"": [[15, -5, ""d""]], ""details"": ""added synthetic node -5 using source line 15""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,1,17,1,1,True,True,True,1,False,False,9,15,10,16,1,1,3,3,0.07134445011615753,0.07134445011615753,0.0,0,0,False,,ok,0,14.074663999963377,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [12, -1], ""removed_edges"": [], ""added_edges"": [[12, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 12""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,3,17,3,3,True,True,True,1,False,False,9,15,12,18,3,3,3,3,0.07134445011615753,0.06924521923065186,-0.0020992308855056763,0,0,False,,ok,0,15.169734000210156,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [12, -1], ""removed_edges"": [], ""added_edges"": [[12, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 12""}, {""step"": 2, ""action"": ""node_add"", ""target_nodes"": [26, -2], ""removed_edges"": [], ""added_edges"": [[26, -2, ""d""]], ""details"": ""added synthetic node -2 using source line 26""}, {""step"": 3, ""action"": ""node_add"", ""target_nodes"": [23, -3], ""removed_edges"": [], ""added_edges"": [[23, -3, ""d""]], ""details"": ""added synthetic node -3 using source line 23""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,5,17,5,5,True,True,True,1,False,False,9,15,14,20,5,5,3,3,0.07134445011615753,0.04820971190929413,-0.023134738206863403,0,0,False,,ok,0,14.711473000033948,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [12, -1], ""removed_edges"": [], ""added_edges"": [[12, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 12""}, {""step"": 2, ""action"": ""node_add"", ""target_nodes"": [26, -2], ""removed_edges"": [], ""added_edges"": [[26, -2, ""d""]], ""details"": ""added synthetic node -2 using source line 26""}, {""step"": 3, ""action"": ""node_add"", ""target_nodes"": [23, -3], ""removed_edges"": [], ""added_edges"": [[23, -3, ""d""]], ""details"": ""added synthetic node -3 using source line 23""}, {""step"": 4, ""action"": ""node_add"", ""target_nodes"": [24, -4], ""removed_edges"": [], ""added_edges"": [[24, -4, ""d""]], ""details"": ""added synthetic node -4 using source line 24""}, {""step"": 5, ""action"": ""node_add"", ""target_nodes"": [23, -5], ""removed_edges"": [], ""added_edges"": [[23, -5, ""d""]], ""details"": ""added synthetic node -5 using source line 23""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,1,29,1,1,True,True,True,1,False,False,9,15,10,16,1,1,3,3,0.07134445011615753,0.07134445011615753,0.0,0,0,False,,ok,0,14.904888000046412,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [12, -1], ""removed_edges"": [], ""added_edges"": [[12, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 12""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,3,29,3,3,True,True,True,1,False,False,9,15,12,18,3,3,3,3,0.07134445011615753,0.06524857133626938,-0.006095878779888153,0,0,False,,ok,0,15.452703999926598,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [12, -1], ""removed_edges"": [], ""added_edges"": [[12, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 12""}, {""step"": 2, ""action"": ""node_add"", ""target_nodes"": [16, -2], ""removed_edges"": [], ""added_edges"": [[16, -2, ""d""]], ""details"": ""added synthetic node -2 using source line 16""}, {""step"": 3, ""action"": ""node_add"", ""target_nodes"": [24, -3], ""removed_edges"": [], ""added_edges"": [[24, -3, ""d""]], ""details"": ""added synthetic node -3 using source line 24""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,5,29,5,5,True,True,True,1,False,False,9,15,14,20,5,5,3,3,0.07134445011615753,0.06524857133626938,-0.006095878779888153,0,0,False,,ok,0,15.182557999878554,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [12, -1], ""removed_edges"": [], ""added_edges"": [[12, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 12""}, {""step"": 2, ""action"": ""node_add"", ""target_nodes"": [16, -2], ""removed_edges"": [], ""added_edges"": [[16, -2, ""d""]], ""details"": ""added synthetic node -2 using source line 16""}, {""step"": 3, ""action"": ""node_add"", ""target_nodes"": [24, -3], ""removed_edges"": [], ""added_edges"": [[24, -3, ""d""]], ""details"": ""added synthetic node -3 using source line 24""}, {""step"": 4, ""action"": ""node_add"", ""target_nodes"": [-1, -4], ""removed_edges"": [], ""added_edges"": [[-1, -4, ""d""]], ""details"": ""added synthetic node -4 using source line 12""}, {""step"": 5, ""action"": ""node_add"", ""target_nodes"": [-1, -5], ""removed_edges"": [], ""added_edges"": [[-1, -5, ""d""]], ""details"": ""added synthetic node -5 using source line 12""}]",[],
cvefixes__01_vulnerable_expand_dynamic_string_token,node_add,random_graph,random,1,42,1,1,True,True,True,1,False,False,9,15,10,16,1,1,3,3,0.07134445011615753,0.07134445011615753,0.0,0,0,False,,ok,0,14.598793000004662,"[{""step"": 1, ""action"": ""node_add"", ""target_nodes"": [16, -1], ""removed_edges"": [], ""added_edges"": [[16, -1, ""d""]], ""details"": ""added synthetic node -1 using source line 16""}]",[],
