/workspace/src/models/modules/gnns.py:39: UserWarning: 'nn.glob.GlobalAttention' is deprecated, use 'nn.aggr.AttentionalAggregation' instead
  self.attpool = GlobalAttention(torch.nn.Linear(config.hidden_size, 1))
[1/60] cvefixes__01_vulnerable_expand_dynamic_string_token: baseline p=0.071344, label=0, PDG=9/15, XFG=3
  node_add b=1 s=7: applied=1, nested=True, p=0.065249, flip=False, error=none
  node_add b=3 s=7: applied=3, nested=True, p=0.142764, flip=False, error=none
  node_add b=5 s=7: applied=5, nested=True, p=0.141500, flip=False, error=none
  node_add b=1 s=17: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=17: applied=3, nested=True, p=0.069245, flip=False, error=none
  node_add b=5 s=17: applied=5, nested=True, p=0.048210, flip=False, error=none
  node_add b=1 s=29: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=29: applied=3, nested=True, p=0.065249, flip=False, error=none
  node_add b=5 s=29: applied=5, nested=True, p=0.065249, flip=False, error=none
  node_add b=1 s=42: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=42: applied=3, nested=True, p=0.056345, flip=False, error=none
  node_add b=5 s=42: applied=5, nested=True, p=0.240212, flip=False, error=none
  node_add b=1 s=61: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=61: applied=3, nested=True, p=0.127762, flip=False, error=none
  node_add b=5 s=61: applied=5, nested=True, p=0.390004, flip=False, error=none
  node_add b=1 s=73: applied=1, nested=True, p=0.056345, flip=False, error=none
  node_add b=3 s=73: applied=3, nested=True, p=0.056345, flip=False, error=none
  node_add b=5 s=73: applied=5, nested=True, p=0.056345, flip=False, error=none
  node_add b=1 s=89: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=89: applied=3, nested=True, p=0.056345, flip=False, error=none
  node_add b=5 s=89: applied=5, nested=True, p=0.114689, flip=False, error=none
  node_add b=1 s=101: applied=1, nested=True, p=0.171676, flip=False, error=none
  node_add b=3 s=101: applied=3, nested=True, p=0.196279, flip=False, error=none
  node_add b=5 s=101: applied=5, nested=True, p=0.196279, flip=False, error=none
  node_add b=1 s=137: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=137: applied=3, nested=True, p=0.156763, flip=False, error=none
  node_add b=5 s=137: applied=5, nested=True, p=0.222114, flip=False, error=none
  node_add b=1 s=2026: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=2026: applied=3, nested=True, p=0.065249, flip=False, error=none
  node_add b=5 s=2026: applied=5, nested=True, p=0.091504, flip=False, error=none
  node_delete b=1 s=7: applied=1, nested=True, p=0.060508, flip=False, error=none
  node_delete b=3 s=7: applied=3, nested=True, p=0.824067, flip=True, error=none
  node_delete b=5 s=7: applied=5, nested=True, p=0.600936, flip=True, error=none
  node_delete b=1 s=17: applied=1, nested=True, p=0.181209, flip=False, error=none
  node_delete b=3 s=17: applied=3, nested=True, p=0.147287, flip=False, error=none
  node_delete b=5 s=17: applied=5, nested=True, p=0.869945, flip=True, error=none
  node_delete b=1 s=29: applied=1, nested=True, p=0.181209, flip=False, error=none
  node_delete b=3 s=29: applied=3, nested=True, p=0.198139, flip=False, error=none
  node_delete b=5 s=29: applied=5, nested=True, p=0.343431, flip=False, error=none
  node_delete b=1 s=42: applied=1, nested=True, p=0.814023, flip=True, error=none
  node_delete b=3 s=42: applied=3, nested=True, p=0.729857, flip=True, error=none
  node_delete b=5 s=42: applied=5, nested=True, p=0.219044, flip=False, error=none
  node_delete b=1 s=61: applied=1, nested=True, p=0.111665, flip=False, error=none
  node_delete b=3 s=61: applied=3, nested=True, p=0.505477, flip=True, error=none
  node_delete b=5 s=61: applied=5, nested=True, p=0.552409, flip=True, error=none
  node_delete b=1 s=73: applied=1, nested=True, p=0.060508, flip=False, error=none
  node_delete b=3 s=73: applied=3, nested=True, p=0.067465, flip=False, error=none
  node_delete b=5 s=73: applied=5, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=89: applied=1, nested=True, p=0.038099, flip=False, error=none
  node_delete b=3 s=89: applied=3, nested=True, p=0.751531, flip=True, error=none
  node_delete b=5 s=89: applied=5, nested=True, p=0.219044, flip=False, error=none
  node_delete b=1 s=101: applied=1, nested=True, p=0.181209, flip=False, error=none
  node_delete b=3 s=101: applied=3, nested=True, p=0.583069, flip=True, error=none
  node_delete b=5 s=101: applied=5, nested=True, p=0.552409, flip=True, error=none
  node_delete b=1 s=137: applied=1, nested=True, p=0.038099, flip=False, error=none
  node_delete b=3 s=137: applied=3, nested=True, p=0.600936, flip=True, error=none
  node_delete b=5 s=137: applied=5, nested=True, p=0.219044, flip=False, error=none
  node_delete b=1 s=2026: applied=1, nested=True, p=0.038099, flip=False, error=none
  node_delete b=3 s=2026: applied=3, nested=True, p=0.224588, flip=False, error=none
  node_delete b=5 s=2026: applied=5, nested=True, p=0.067465, flip=False, error=none
  node_attribute_modify b=1 s=7: applied=1, nested=True, p=0.100179, flip=False, error=none
  node_attribute_modify b=3 s=7: applied=3, nested=True, p=0.118488, flip=False, error=none
  node_attribute_modify b=5 s=7: applied=5, nested=True, p=0.628146, flip=True, error=none
  node_attribute_modify b=1 s=17: applied=1, nested=True, p=0.075840, flip=False, error=none
  node_attribute_modify b=3 s=17: applied=3, nested=True, p=0.187020, flip=False, error=none
  node_attribute_modify b=5 s=17: applied=5, nested=True, p=0.201778, flip=False, error=none
  node_attribute_modify b=1 s=29: applied=1, nested=True, p=0.070973, flip=False, error=none
  node_attribute_modify b=3 s=29: applied=3, nested=True, p=0.003170, flip=False, error=none
  node_attribute_modify b=5 s=29: applied=5, nested=True, p=0.655180, flip=True, error=none
  node_attribute_modify b=1 s=42: applied=1, nested=True, p=0.719877, flip=True, error=none
  node_attribute_modify b=3 s=42: applied=3, nested=True, p=0.806348, flip=True, error=none
  node_attribute_modify b=5 s=42: applied=5, nested=True, p=0.868541, flip=True, error=none
  node_attribute_modify b=1 s=61: applied=1, nested=True, p=0.016850, flip=False, error=none
  node_attribute_modify b=3 s=61: applied=3, nested=True, p=0.076734, flip=False, error=none
  node_attribute_modify b=5 s=61: applied=5, nested=True, p=0.012123, flip=False, error=none
  node_attribute_modify b=1 s=73: applied=1, nested=True, p=0.049800, flip=False, error=none
  node_attribute_modify b=3 s=73: applied=3, nested=True, p=0.015009, flip=False, error=none
  node_attribute_modify b=5 s=73: applied=5, nested=True, p=0.294378, flip=False, error=none
  node_attribute_modify b=1 s=89: applied=1, nested=True, p=0.019848, flip=False, error=none
  node_attribute_modify b=3 s=89: applied=3, nested=True, p=0.541145, flip=True, error=none
  node_attribute_modify b=5 s=89: applied=5, nested=True, p=0.609383, flip=True, error=none
  node_attribute_modify b=1 s=101: applied=1, nested=True, p=0.073991, flip=False, error=none
  node_attribute_modify b=3 s=101: applied=3, nested=True, p=0.682017, flip=True, error=none
  node_attribute_modify b=5 s=101: applied=5, nested=True, p=0.720116, flip=True, error=none
  node_attribute_modify b=1 s=137: applied=1, nested=True, p=0.002579, flip=False, error=none
  node_attribute_modify b=3 s=137: applied=3, nested=True, p=0.006538, flip=False, error=none
  node_attribute_modify b=5 s=137: applied=5, nested=True, p=0.007574, flip=False, error=none
  node_attribute_modify b=1 s=2026: applied=1, nested=True, p=0.005146, flip=False, error=none
  node_attribute_modify b=3 s=2026: applied=3, nested=True, p=0.014385, flip=False, error=none
  node_attribute_modify b=5 s=2026: applied=5, nested=True, p=0.080699, flip=False, error=none
  edge_add b=1 s=7: applied=1, nested=True, p=0.068714, flip=False, error=none
  edge_add b=3 s=7: applied=3, nested=True, p=0.063172, flip=False, error=none
  edge_add b=5 s=7: applied=5, nested=True, p=0.071928, flip=False, error=none
  edge_add b=1 s=17: applied=1, nested=True, p=0.060416, flip=False, error=none
  edge_add b=3 s=17: applied=3, nested=True, p=0.059496, flip=False, error=none
  edge_add b=5 s=17: applied=5, nested=True, p=0.051634, flip=False, error=none
  edge_add b=1 s=29: applied=1, nested=True, p=0.059602, flip=False, error=none
  edge_add b=3 s=29: applied=3, nested=True, p=0.048246, flip=False, error=none
  edge_add b=5 s=29: applied=5, nested=True, p=0.038262, flip=False, error=none
  edge_add b=1 s=42: applied=1, nested=True, p=0.066497, flip=False, error=none
  edge_add b=3 s=42: applied=3, nested=True, p=0.053276, flip=False, error=none
  edge_add b=5 s=42: applied=5, nested=True, p=0.047862, flip=False, error=none
  edge_add b=1 s=61: applied=1, nested=True, p=0.033780, flip=False, error=none
  edge_add b=3 s=61: applied=3, nested=True, p=0.058112, flip=False, error=none
  edge_add b=5 s=61: applied=5, nested=True, p=0.094706, flip=False, error=none
  edge_add b=1 s=73: applied=1, nested=True, p=0.113078, flip=False, error=none
  edge_add b=3 s=73: applied=3, nested=True, p=0.040372, flip=False, error=none
  edge_add b=5 s=73: applied=5, nested=True, p=0.041898, flip=False, error=none
  edge_add b=1 s=89: applied=1, nested=True, p=0.067546, flip=False, error=none
  edge_add b=3 s=89: applied=3, nested=True, p=0.031069, flip=False, error=none
  edge_add b=5 s=89: applied=5, nested=True, p=0.022998, flip=False, error=none
  edge_add b=1 s=101: applied=1, nested=True, p=0.102991, flip=False, error=none
  edge_add b=3 s=101: applied=3, nested=True, p=0.085071, flip=False, error=none
  edge_add b=5 s=101: applied=5, nested=True, p=0.086227, flip=False, error=none
  edge_add b=1 s=137: applied=1, nested=True, p=0.038733, flip=False, error=none
  edge_add b=3 s=137: applied=3, nested=True, p=0.013217, flip=False, error=none
  edge_add b=5 s=137: applied=5, nested=True, p=0.027777, flip=False, error=none
  edge_add b=1 s=2026: applied=1, nested=True, p=0.071344, flip=False, error=none
  edge_add b=3 s=2026: applied=3, nested=True, p=0.022015, flip=False, error=none
  edge_add b=5 s=2026: applied=5, nested=True, p=0.041930, flip=False, error=none
  edge_delete b=1 s=7: applied=1, nested=True, p=0.060508, flip=False, error=none
  edge_delete b=3 s=7: applied=3, nested=True, p=0.005127, flip=False, error=none
  edge_delete b=5 s=7: applied=5, nested=True, p=0.072475, flip=False, error=none
  edge_delete b=1 s=17: applied=1, nested=True, p=0.073582, flip=False, error=none
  edge_delete b=3 s=17: applied=3, nested=True, p=0.218439, flip=False, error=none
  edge_delete b=5 s=17: applied=5, nested=True, p=0.142757, flip=False, error=none
  edge_delete b=1 s=29: applied=1, nested=True, p=0.073582, flip=False, error=none
  edge_delete b=3 s=29: applied=3, nested=True, p=0.146125, flip=False, error=none
  edge_delete b=5 s=29: applied=5, nested=True, p=0.474084, flip=False, error=none
  edge_delete b=1 s=42: applied=1, nested=True, p=0.071344, flip=False, error=none
  edge_delete b=3 s=42: applied=3, nested=True, p=0.083910, flip=False, error=none
  edge_delete b=5 s=42: applied=5, nested=True, p=0.154222, flip=False, error=none
  edge_delete b=1 s=61: applied=1, nested=True, p=0.111665, flip=False, error=none
  edge_delete b=3 s=61: applied=3, nested=True, p=0.046686, flip=False, error=none
  edge_delete b=5 s=61: applied=5, nested=True, p=0.502479, flip=True, error=none
  edge_delete b=1 s=73: applied=1, nested=True, p=0.121464, flip=False, error=none
  edge_delete b=3 s=73: applied=3, nested=True, p=0.121464, flip=False, error=none
  edge_delete b=5 s=73: applied=5, nested=True, p=0.607129, flip=True, error=none
  edge_delete b=1 s=89: applied=1, nested=True, p=0.083910, flip=False, error=none
  edge_delete b=3 s=89: applied=3, nested=True, p=0.365251, flip=False, error=none
  edge_delete b=5 s=89: applied=5, nested=True, p=0.507146, flip=True, error=none
  edge_delete b=1 s=101: applied=1, nested=True, p=0.100762, flip=False, error=none
  edge_delete b=3 s=101: applied=3, nested=True, p=0.082559, flip=False, error=none
  edge_delete b=5 s=101: applied=5, nested=True, p=0.118800, flip=False, error=none
  edge_delete b=1 s=137: applied=1, nested=True, p=0.083910, flip=False, error=none
  edge_delete b=3 s=137: applied=3, nested=True, p=0.052785, flip=False, error=none
  edge_delete b=5 s=137: applied=5, nested=True, p=0.018881, flip=False, error=none
  edge_delete b=1 s=2026: applied=1, nested=True, p=0.083910, flip=False, error=none
  edge_delete b=3 s=2026: applied=3, nested=True, p=0.083630, flip=False, error=none
  edge_delete b=5 s=2026: applied=5, nested=True, p=0.583693, flip=True, error=none
  edge_reconnect b=1 s=7: applied=1, nested=True, p=0.029424, flip=False, error=none
  edge_reconnect b=3 s=7: applied=3, nested=True, p=0.612080, flip=True, error=none
  edge_reconnect b=5 s=7: applied=5, nested=True, p=0.044756, flip=False, error=none
  edge_reconnect b=1 s=17: applied=1, nested=True, p=0.350948, flip=False, error=none
  edge_reconnect b=3 s=17: applied=3, nested=True, p=0.111879, flip=False, error=none
  edge_reconnect b=5 s=17: applied=5, nested=True, p=0.176924, flip=False, error=none
  edge_reconnect b=1 s=29: applied=1, nested=True, p=0.047997, flip=False, error=none
  edge_reconnect b=3 s=29: applied=3, nested=True, p=0.011551, flip=False, error=none
  edge_reconnect b=5 s=29: applied=5, nested=True, p=0.008843, flip=False, error=none
  edge_reconnect b=1 s=42: applied=1, nested=True, p=0.064559, flip=False, error=none
  edge_reconnect b=3 s=42: applied=3, nested=True, p=0.045602, flip=False, error=none
  edge_reconnect b=5 s=42: applied=5, nested=True, p=0.034659, flip=False, error=none
  edge_reconnect b=1 s=61: applied=1, nested=True, p=0.349543, flip=False, error=none
  edge_reconnect b=3 s=61: applied=3, nested=True, p=0.086358, flip=False, error=none
  edge_reconnect b=5 s=61: applied=5, nested=True, p=0.046195, flip=False, error=none
  edge_reconnect b=1 s=73: applied=1, nested=True, p=0.037810, flip=False, error=none
  edge_reconnect b=3 s=73: applied=3, nested=True, p=0.021517, flip=False, error=none
  edge_reconnect b=5 s=73: applied=5, nested=True, p=0.039363, flip=False, error=none
  edge_reconnect b=1 s=89: applied=1, nested=True, p=0.056028, flip=False, error=none
  edge_reconnect b=3 s=89: applied=3, nested=True, p=0.233551, flip=False, error=none
  edge_reconnect b=5 s=89: applied=5, nested=True, p=0.070950, flip=False, error=none
  edge_reconnect b=1 s=101: applied=1, nested=True, p=0.092489, flip=False, error=none
  edge_reconnect b=3 s=101: applied=3, nested=True, p=0.064745, flip=False, error=none
  edge_reconnect b=5 s=101: applied=5, nested=True, p=0.089996, flip=False, error=none
  edge_reconnect b=1 s=137: applied=1, nested=True, p=0.034749, flip=False, error=none
  edge_reconnect b=3 s=137: applied=3, nested=True, p=0.009500, flip=False, error=none
  edge_reconnect b=5 s=137: applied=5, nested=True, p=0.003935, flip=False, error=none
  edge_reconnect b=1 s=2026: applied=1, nested=True, p=0.044920, flip=False, error=none
  edge_reconnect b=3 s=2026: applied=3, nested=True, p=0.213888, flip=False, error=none
  edge_reconnect b=5 s=2026: applied=5, nested=True, p=0.205591, flip=False, error=none
[2/60] cvefixes__02_fixed_dl_dst_substitute: baseline p=0.000000, label=0, PDG=24/113, XFG=4
  node_add b=1 s=7: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=7: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=7: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=17: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=17: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=17: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=29: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=29: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=29: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=42: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=42: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=42: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=61: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=61: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=61: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=73: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=73: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=73: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=89: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=89: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=89: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=101: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=101: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=101: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=137: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=137: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=137: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_add b=1 s=2026: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_add b=3 s=2026: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_add b=5 s=2026: applied=5, nested=True, p=0.000000, flip=False, error=none
  node_delete b=1 s=7: applied=1, nested=True, p=0.000000, flip=False, error=none
  node_delete b=3 s=7: applied=3, nested=True, p=0.000000, flip=False, error=none
  node_delete b=5 s=7: applied=5, nested=True, p=0.000000, flip=False, error=none
