action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,12,0,0.0,0.0,0.0,63.2,106.4,12,2
control_wrapper,20,0,0.03099200368466738,-0.06222366541624069,0.31446562707424164,7.315789473684211,16.473684210526315,20,1
data_flow_alias,20,0,0.01943580327788368,-0.06222366541624069,0.31446562707424164,37.7,72.95,20,0
dead_statement,20,0,0.02951677003293298,-0.05035959929227829,0.31446562707424164,33.0,74.25,20,0
integer_overflow_guard,6,0,-0.06222366541624069,-0.06222366541624069,-0.06222366541624069,28.0,39.0,6,4
pattern_dead_code,19,1,0.02087532288983072,-0.06978002190589905,0.49078553915023804,123.89473684210526,229.8421052631579,19,0
postcondition_validation,5,0,,,,,,5,5
range_clamp,13,0,-0.018441845352451008,-0.062223680317401886,0.0,3.3333333333333335,35.083333333333336,13,1
safe_source_substitution,15,0,-0.0199371480516025,-0.06978002190589905,0.0,19.357142857142858,39.0,15,1
sink_bound_guard,13,0,-0.02863801581164201,-0.12385833263397217,0.0,23.5,51.25,13,1
temp_variable_split,20,0,0.002968713641166687,-0.062223680317401886,0.07706724107265472,21.9,51.7,20,0
wide_char_sink_guard,5,0,,,,,,5,5
xfg_targeted_dead_code,20,0,0.011327639590308535,-0.06978002190589905,0.31446562707424164,38.0,90.1,20,0
