action,attempted,successful,failed,flips,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_runtime_ms
array_index_bound_guard,12,10,2,0,0.0,0.0,0.0,11518.445783300012
control_wrapper,20,19,1,0,0.03099200368466738,0.04911088241313241,0.31446562707424164,9236.005294473694
data_flow_alias,20,20,0,0,0.01943580327788368,0.04417620791355148,0.31446562707424164,9784.085536349903
dead_statement,20,20,0,0,0.02951677003293298,0.037810421077301724,0.31446562707424164,9595.454567850129
integer_overflow_guard,6,2,4,0,-0.06222366541624069,0.06222366541624069,0.06222366541624069,5602.527225999438
pattern_dead_code,19,19,0,1,0.02087532288983072,0.03583493467273289,0.49078553915023804,9421.041194420946
postcondition_validation,5,0,5,0,,,,
range_clamp,13,12,1,0,-0.018441845352451008,0.018441845352451008,0.062223680317401886,9722.979639833358
safe_source_substitution,15,14,1,0,-0.0199371480516025,0.0199371480516025,0.06978002190589905,9728.137765571644
sink_bound_guard,13,12,1,0,-0.02863801581164201,0.02863801581164201,0.12385833263397217,9927.544219333413
temp_variable_split,20,20,0,0,0.002968713641166687,0.027858182787895203,0.07706724107265472,9735.151862400198
wide_char_sink_guard,5,0,5,0,,,,
xfg_targeted_dead_code,20,20,0,0,0.011327639590308535,0.029327557604119647,0.31446562707424164,9421.603813650108
