sample_id,action,strategy,seed,requested_count,applied_count,valid,baseline_nodes,baseline_edges,perturbed_nodes,perturbed_edges,delta_nodes,delta_edges,baseline_xfg_count,perturbed_xfg_count,baseline_probability,perturbed_probability,delta_probability,baseline_label,perturbed_label,flipped,runtime_ms,operations,validation_errors,error
00_cve-2022-48620,data_flow_alias,code_perturbation,,1,1,True,1696,3762,1716,3799,20,37,,,0.00044025862007401884,0.0011604528408497572,0.0007201942207757384,0,0,False,6901.058412999191,inserted 1 alias-preserving data-flow no-op(s) near call arguments,,
00_cve-2022-48620,data_flow_alias,code_perturbation,,2,2,True,1696,3762,1732,3837,36,75,,,0.00044025862007401884,0.0016091573052108288,0.00116889868513681,0,0,False,6406.083467998542,inserted 2 alias-preserving data-flow no-op(s) near call arguments,,
00_cve-2022-48620,data_flow_alias,code_perturbation,,3,3,True,1696,3762,1734,3838,38,76,,,0.00044025862007401884,0.0016091573052108288,0.00116889868513681,0,0,False,6839.149502999135,inserted 3 alias-preserving data-flow no-op(s) near call arguments,,
00_cve-2022-48620,data_flow_alias,code_perturbation,,5,5,True,1696,3762,1776,3915,80,153,,,0.00044025862007401884,0.0054281894117593765,0.004987930791685358,0,0,False,6393.678279999222,inserted 5 alias-preserving data-flow no-op(s) near call arguments,,
00_cve-2022-48620,dead_statement,code_perturbation,,1,1,True,1696,3762,1708,3789,12,27,,,0.00044025862007401884,0.0011604528408497572,0.0007201942207757384,0,0,False,6905.480823999824,inserted 1 harmless dummy integer statement pair(s) after first function brace,,
00_cve-2022-48620,dead_statement,code_perturbation,,2,2,True,1696,3762,1720,3816,24,54,,,0.00044025862007401884,0.04378660395741463,0.04334634533734061,0,0,False,6475.589014000434,inserted 2 harmless dummy integer statement pair(s) after first function brace,,
00_cve-2022-48620,dead_statement,code_perturbation,,3,3,True,1696,3762,1732,3843,36,81,,,0.00044025862007401884,0.00044025862007401884,0.0,0,0,False,6791.663846999654,inserted 3 harmless dummy integer statement pair(s) after first function brace,,
00_cve-2022-48620,dead_statement,code_perturbation,,5,5,True,1696,3762,1756,3897,60,135,,,0.00044025862007401884,0.0011604528408497572,0.0007201942207757384,0,0,False,6816.130344999692,inserted 5 harmless dummy integer statement pair(s) after first function brace,,
00_cve-2022-48620,xfg_targeted_dead_code,code_perturbation,,1,1,True,1696,3762,1712,3798,16,36,,,0.00044025862007401884,0.04378660395741463,0.04334634533734061,0,0,False,6506.918646000486,inserted 1 unreachable no-op block(s) near XFG-relevant target lines,,
00_cve-2022-48620,xfg_targeted_dead_code,code_perturbation,,2,2,True,1696,3762,1728,3834,32,72,,,0.00044025862007401884,0.00044025862007401884,0.0,0,0,False,6330.5946979999135,inserted 2 unreachable no-op block(s) near XFG-relevant target lines,,
