action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,12,0,0.0,0.0,0.0,63.2,106.4,12,1
control_wrapper,20,0,0.02472120094462298,-0.06222366541624069,0.31446562707424164,8.2,20.35,20,0
data_flow_alias,17,1,-0.031244121416581467,-0.9874121714383364,0.31446562707424164,-824.4117647058823,-1801.3529411764705,17,0
dead_statement,20,0,0.018385799844691065,-0.0633801780641079,0.31446562707424164,22.0,46.2,20,0
integer_overflow_guard,6,0,-0.06222366541624069,-0.06222366541624069,-0.06222366541624069,28.0,39.0,6,1
pattern_dead_code,19,1,0.019807061640006538,-0.08520246297121048,0.49078553915023804,87.26315789473684,156.31578947368422,19,0
postcondition_validation,7,0,0.0,0.0,0.0,20.666666666666668,37.0,7,1
range_clamp,13,0,-0.017113673811157543,-0.06222366541624069,0.0,56.666666666666664,132.75,13,3
safe_source_substitution,15,0,-0.017763627293918813,-0.08289692737162113,0.0,18.071428571428573,36.214285714285715,15,1
sink_bound_guard,13,0,-0.01831648809214433,-0.06222366541624069,0.0,23.833333333333332,51.0,13,3
temp_variable_split,20,0,0.021803179010748863,-0.062223680317401886,0.31446562707424164,21.2,47.75,20,1
wide_char_sink_guard,5,0,0.0,0.0,0.0,0.0,0.0,5,0
xfg_targeted_dead_code,20,0,0.0060113156170700675,-0.09902732819318771,0.31446562707424164,27.9,63.6,20,0
