action,attempted,successful,failed,flips,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_runtime_ms
array_index_bound_guard,12,11,1,0,0.0,0.0,0.0,14223.789611500251
control_wrapper,20,20,0,0,0.02472120094462298,0.04396788644953631,0.31446562707424164,11233.712363550057
data_flow_alias,17,17,0,1,-0.031244121416581467,0.10629515335484244,0.9874121714383364,9330.901557587982
dead_statement,20,20,0,0,0.018385799844691065,0.049081658442446496,0.31446562707424164,11252.829100049985
integer_overflow_guard,6,5,1,0,-0.06222366541624069,0.06222366541624069,0.06222366541624069,5928.729556500912
pattern_dead_code,19,19,0,1,0.019807061640006538,0.041304959835925775,0.49078553915023804,11485.833741947461
postcondition_validation,7,6,1,0,0.0,0.0,0.0,10187.50550499984
range_clamp,13,10,3,0,-0.017113673811157543,0.017113673811157543,0.06222366541624069,12048.847597999915
safe_source_substitution,15,14,1,0,-0.017763627293918813,0.017763627293918813,0.08289692737162113,11648.98583664282
sink_bound_guard,13,10,3,0,-0.01831648809214433,0.01831648809214433,0.06222366541624069,11785.319077000167
temp_variable_split,20,19,1,0,0.021803179010748863,0.04047028012573719,0.31446562707424164,11207.417437599997
wide_char_sink_guard,5,5,0,0,0.0,0.0,0.0,0.0
xfg_targeted_dead_code,20,20,0,0,0.0060113156170700675,0.034643881577358114,0.31446562707424164,10932.861504700122
