sample_id,dataset,source_file,function_name,predicted_label,vulnerability_probability,confidence,num_nodes,num_edges,joern_status,input_file,status,error
cvefixes__01_vulnerable_expand_dynamic_string_token,cvefixes,input_sources/cvefixes/01_vulnerable_expand_dynamic_string_token.c,unknown,0,0.07134445011615753,0.9286555498838425,114,217,success,/repo/input_sources/cvefixes/01_vulnerable_expand_dynamic_string_token.c,success,
cvefixes__02_fixed_dl_dst_substitute,cvefixes,input_sources/cvefixes/02_fixed_dl_dst_substitute.c,if,0,1.0735370814529688e-08,0.9999999892646292,381,775,success,/repo/input_sources/cvefixes/02_fixed_dl_dst_substitute.c,success,
cvefixes__03_fixed_KPasswordDlg_keyPressed,cvefixes,input_sources/cvefixes/03_fixed_KPasswordDlg_keyPressed.c,unknown,0,2.2707772586727515e-06,0.9999977292227413,209,407,success,/repo/input_sources/cvefixes/03_fixed_KPasswordDlg_keyPressed.c,success,
cvefixes__04_fixed_ia64_patch_rse,cvefixes,input_sources/cvefixes/04_fixed_ia64_patch_rse.c,unknown,0,1.796072319848463e-05,0.9999820392768015,95,181,success,/repo/input_sources/cvefixes/04_fixed_ia64_patch_rse.c,success,
cvefixes__05_fixed_altivec_unavailable_exception,cvefixes,input_sources/cvefixes/05_fixed_altivec_unavailable_exception.c,altivec_unavailable_exception,0,0.0003320919058751315,0.9996679080941249,70,169,success,/repo/input_sources/cvefixes/05_fixed_altivec_unavailable_exception.c,success,
cvefixes__06_vulnerable_altivec_unavailable_exception,cvefixes,input_sources/cvefixes/06_vulnerable_altivec_unavailable_exception.c,altivec_unavailable_exception,0,0.0003320919058751315,0.9996679080941249,70,169,success,/repo/input_sources/cvefixes/06_vulnerable_altivec_unavailable_exception.c,success,
cvefixes__07_fixed_videobuf_vm_close,cvefixes,input_sources/cvefixes/07_fixed_videobuf_vm_close.c,unknown,0,1.2162955727035296e-06,0.9999987837044273,210,487,success,/repo/input_sources/cvefixes/07_fixed_videobuf_vm_close.c,success,
cvefixes__08_vulnerable_videobuf_vm_close,cvefixes,input_sources/cvefixes/08_vulnerable_videobuf_vm_close.c,unknown,0,1.2162955727035296e-06,0.9999987837044273,210,487,success,/repo/input_sources/cvefixes/08_vulnerable_videobuf_vm_close.c,success,
cvefixes__09_fixed_netlbl_cipsov4_add_common,cvefixes,input_sources/cvefixes/09_fixed_netlbl_cipsov4_add_common.c,netlbl_cipsov4_add_common,0,0.0003572004206944257,0.9996427995793056,158,363,success,/repo/input_sources/cvefixes/09_fixed_netlbl_cipsov4_add_common.c,success,
cvefixes__10_vulnerable_netlbl_cipsov4_add_common,cvefixes,input_sources/cvefixes/10_vulnerable_netlbl_cipsov4_add_common.c,netlbl_cipsov4_add_common,0,0.0036455155350267887,0.9963544844649732,157,359,success,/repo/input_sources/cvefixes/10_vulnerable_netlbl_cipsov4_add_common.c,success,
cvefixes__11_fixed_generic_perform_write,cvefixes,input_sources/cvefixes/11_fixed_generic_perform_write.c,generic_perform_write,0,3.535852499680914e-08,0.999999964641475,368,897,success,/repo/input_sources/cvefixes/11_fixed_generic_perform_write.c,success,
cvefixes__12_vulnerable_generic_perform_write,cvefixes,input_sources/cvefixes/12_vulnerable_generic_perform_write.c,generic_perform_write,0,2.9438250948032874e-08,0.999999970561749,368,897,success,/repo/input_sources/cvefixes/12_vulnerable_generic_perform_write.c,success,
cvefixes__13_fixed_pango_glyph_string_set_size,cvefixes,input_sources/cvefixes/13_fixed_pango_glyph_string_set_size.c,unknown,0,0.0004900019848719239,0.9995099980151281,185,381,success,/repo/input_sources/cvefixes/13_fixed_pango_glyph_string_set_size.c,success,
cvefixes__14_vulnerable_pango_glyph_string_set_size,cvefixes,input_sources/cvefixes/14_vulnerable_pango_glyph_string_set_size.c,unknown,0,0.0005512611824087799,0.9994487388175912,133,314,success,/repo/input_sources/cvefixes/14_vulnerable_pango_glyph_string_set_size.c,success,
cvefixes__15_fixed_decode_entities,cvefixes,input_sources/cvefixes/15_fixed_decode_entities.c,while,0,5.931529449298978e-05,0.999940684705507,1023,2413,success,/repo/input_sources/cvefixes/15_fixed_decode_entities.c,success,
cvefixes__16_vulnerable_decode_entities,cvefixes,input_sources/cvefixes/16_vulnerable_decode_entities.c,while,0,4.64283766632434e-05,0.9999535716233368,1003,2377,success,/repo/input_sources/cvefixes/16_vulnerable_decode_entities.c,success,
cvefixes__17_vulnerable_eval_js,cvefixes,input_sources/cvefixes/17_vulnerable_eval_js.c,unknown,0,0.0,1.0,280,538,success,/repo/input_sources/cvefixes/17_vulnerable_eval_js.c,success,
cvefixes__18_vulnerable_try_read_command,cvefixes,input_sources/cvefixes/18_vulnerable_try_read_command.c,try_read_command,0,0.00244052242487669,0.9975594775751233,782,1747,success,/repo/input_sources/cvefixes/18_vulnerable_try_read_command.c,success,
cvefixes__19_fixed_try_read_network,cvefixes,input_sources/cvefixes/19_fixed_try_read_network.c,try_read_network,0,6.361439017698797e-14,0.9999999999999364,353,831,success,/repo/input_sources/cvefixes/19_fixed_try_read_network.c,success,
cvefixes__20_vulnerable_irssi_ssl_handshake,cvefixes,input_sources/cvefixes/20_vulnerable_irssi_ssl_handshake.c,irssi_ssl_handshake,0,0.0013992891181260347,0.998600710881874,264,511,success,/repo/input_sources/cvefixes/20_vulnerable_irssi_ssl_handshake.c,success,
cwe119__01_vulnerable_03_vulnerable_30,cwe119,input_sources/cwe119/01_vulnerable_03_vulnerable_30.c,if,1,1.0,1.0,579,1099,success,/repo/input_sources/cwe119/01_vulnerable_03_vulnerable_30.c,success,
cwe119__02_vulnerable_04_vulnerable_55,cwe119,input_sources/cwe119/02_vulnerable_04_vulnerable_55.c,main,1,0.9979885816574097,0.9979885816574097,61,112,success,/repo/input_sources/cwe119/02_vulnerable_04_vulnerable_55.c,success,
cwe119__03_vulnerable_05_vulnerable_32,cwe119,input_sources/cwe119/03_vulnerable_05_vulnerable_32.c,badSink,1,0.9999673366546631,0.9999673366546631,147,426,success,/repo/input_sources/cwe119/03_vulnerable_05_vulnerable_32.c,success,
cwe119__04_non_vulnerable_06_non-vulnerable_63,cwe119,input_sources/cwe119/04_non_vulnerable_06_non-vulnerable_63.c,bad,0,0.0005112715298309922,0.999488728470169,216,407,success,/repo/input_sources/cwe119/04_non_vulnerable_06_non-vulnerable_63.c,success,
