dataset,sample_id,label,label_name,source_kind,function_name,original_path,staged_file,source_sha256,source_lines,source_bytes
cwe119,01_vulnerable_03_vulnerable_30,1,vulnerable,project_curated,03_vulnerable_30,D:\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\03_vulnerable_30.c,input_sources/cwe119/01_vulnerable_03_vulnerable_30.c,a6cbf1efe34d8bf164340cee5d01f0b5c85a3a91ac02cd91e16cedcccca1c8e6,167,4935
cwe119,02_vulnerable_04_vulnerable_55,1,vulnerable,project_curated,04_vulnerable_55,D:\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\04_vulnerable_55.c,input_sources/cwe119/02_vulnerable_04_vulnerable_55.c,a556f3317e0dd3a924408c381ee395ee853a3b7e318ed79299f96ef55a277f5b,66,2004
cwe119,03_vulnerable_05_vulnerable_32,1,vulnerable,project_curated,05_vulnerable_32,D:\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\05_vulnerable_32.cpp,input_sources/cwe119/03_vulnerable_05_vulnerable_32.c,4e01dd97e319fa7b83bdefc447895407adea33dd730fa884c52a61b82b1f2964,66,1824
cwe119,04_non_vulnerable_06_non-vulnerable_63,0,non_vulnerable,project_curated,06_non-vulnerable_63,D:\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\non_vulnerable\06_non-vulnerable_63.cpp,input_sources/cwe119/04_non_vulnerable_06_non-vulnerable_63.c,cd017b2808475e90a0ab759aba61aafcbe1fda9cdec7bc12e1e3e179e0537659,104,2403
cwe119,05_non_vulnerable_07_non-vulnerable_41,0,non_vulnerable,project_curated,07_non-vulnerable_41,D:\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\non_vulnerable\07_non-vulnerable_41.cpp,input_sources/cwe119/05_non_vulnerable_07_non-vulnerable_41.c,a32b431aabc4d964b13dc3dbf7030ac898f2524ae30839bf4010b569ba0b06cf,117,3198
cwe119,06_non_vulnerable_08_non-vulnerable_32,0,non_vulnerable,project_curated,08_non-vulnerable_32,D:\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\non_vulnerable\08_non-vulnerable_32.c,input_sources/cwe119/06_non_vulnerable_08_non-vulnerable_32.c,f328a87350bd49d2e1dda5154f91051bfbe6df68d287251ba854b02f5c18da9b,88,2927
cwe119,07_non_vulnerable_09_non-vulnerable_83,0,non_vulnerable,project_curated,09_non-vulnerable_83,D:\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\non_vulnerable\09_non-vulnerable_83.cpp,input_sources/cwe119/07_non_vulnerable_09_non-vulnerable_83.c,5094e704172c7a1636bf074c16eed756693b3d0cdc6fd03884298af3503eab41,126,3113
cwe119,08_non_vulnerable_10_non-vulnerable_43,0,non_vulnerable,project_curated,10_non-vulnerable_43,D:\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\non_vulnerable\10_non-vulnerable_43.cpp,input_sources/cwe119/08_non_vulnerable_10_non-vulnerable_43.c,08cfbfb216d6c45fd8f5e84cf7c0bdb0c825809ba8f17993de725452c573c1a5,111,2772
cwe119,09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_81_bad,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\652\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_81_bad.cpp,input_sources/cwe119/09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,2c22406e0bf5cfb4267102474b090a286323f1f4ca89804df0aeb6d0b80b9bdd,37,1197
cwe119,10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,non_vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_81_goodG2B,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\652\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_81_goodG2B.cpp,input_sources/cwe119/10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,14fddc3be3530f52e9b5d2789aca595522285899f4b7f656ef6617f53ce565bf,37,1211
