method,budget,setting,eligible_samples,scored_samples,any_seed_success_samples,any_seed_success_rate,all_scored_seeds_success_samples,mean_per_sample_seed_success_rate,mean_scored_variants_per_sample
random_graph::edge_add,1,budget 1,30,30,2,0.06666666666666667,0,0.02,10.0
random_graph::edge_add,3,budget 3,30,30,4,0.13333333333333333,0,0.04,10.0
random_graph::edge_add,5,budget 5,30,30,4,0.13333333333333333,0,0.030000000000000002,10.0
random_graph::edge_delete,1,budget 1,30,30,2,0.06666666666666667,0,0.006666666666666667,10.0
random_graph::edge_delete,3,budget 3,30,29,3,0.10344827586206896,0,0.027586206896551727,9.551724137931034
random_graph::edge_delete,5,budget 5,30,24,3,0.125,0,0.05416666666666667,9.875
random_graph::edge_reconnect,1,budget 1,30,30,3,0.1,0,0.013333333333333334,10.0
random_graph::edge_reconnect,3,budget 3,30,30,4,0.13333333333333333,0,0.02333333333333333,9.966666666666667
random_graph::edge_reconnect,5,budget 5,30,30,4,0.13333333333333333,0,0.02333333333333333,9.966666666666667
random_graph::node_add,1,budget 1,30,30,0,0.0,0,0.0,10.0
random_graph::node_add,3,budget 3,30,30,2,0.06666666666666667,0,0.006666666666666667,10.0
random_graph::node_add,5,budget 5,30,30,3,0.1,0,0.013333333333333334,10.0
random_graph::node_attribute_modify,1,budget 1,30,30,4,0.13333333333333333,0,0.013333333333333334,10.0
random_graph::node_attribute_modify,3,budget 3,30,30,5,0.16666666666666666,0,0.03333333333333333,10.0
random_graph::node_attribute_modify,5,budget 5,30,30,5,0.16666666666666666,0,0.05333333333333334,10.0
random_graph::node_delete,1,budget 1,30,30,2,0.06666666666666667,0,0.013333333333333334,10.0
random_graph::node_delete,3,budget 3,30,24,2,0.08333333333333333,0,0.03333333333333333,9.833333333333334
random_graph::node_delete,5,budget 5,30,24,4,0.16666666666666666,0,0.0625,9.666666666666666
winner_xfg::targeted_subgraph_injection,1,budget 1,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,3,budget 3,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::targeted_subgraph_injection,5,budget 5,30,30,2,0.06666666666666667,2,0.06666666666666667,10.0
winner_xfg::winner_xfg_edge_attack,1,budget 1,30,30,3,0.1,3,0.1,10.0
winner_xfg::winner_xfg_edge_attack,3,budget 3,30,30,7,0.23333333333333334,7,0.23333333333333334,10.0
winner_xfg::winner_xfg_edge_attack,5,budget 5,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_feature_mask,1,budget 1,30,30,3,0.1,3,0.1,10.0
winner_xfg::winner_xfg_feature_mask,3,budget 3,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
winner_xfg::winner_xfg_feature_mask,5,budget 5,30,30,4,0.13333333333333333,4,0.13333333333333333,10.0
