action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,15,0,0.0002875668661934989,-1.1920928955078125e-07,0.002013087272644043,67.5,100.28571428571429,15,1
control_wrapper,20,0,-0.003874930739402771,-0.02636009454727173,0.0009893178939819336,10.6,26.5,20,1
data_flow_alias,19,0,-0.000540466685044138,-0.011780321598052979,0.0007557272911071777,44.94736842105263,95.78947368421052,19,1
dead_statement,17,1,-0.043210048885906446,-0.7345708310604095,0.0,31.764705882352942,71.47058823529412,17,0
integer_overflow_guard,5,0,0.0,0.0,0.0,0.0,0.0,5,0
pattern_dead_code,20,0,0.0,0.0,0.0,128.6,233.35,20,1
postcondition_validation,5,0,0.0,0.0,0.0,0.0,0.0,5,0
range_clamp,14,0,0.0,0.0,0.0,78.25,196.41666666666666,14,1
safe_source_substitution,6,0,0.0,0.0,0.0,8.0,15.0,6,1
sink_bound_guard,14,0,0.0,0.0,0.0,37.916666666666664,77.08333333333333,14,1
temp_variable_split,14,0,0.0,0.0,0.0,21.5,50.166666666666664,14,0
wide_char_sink_guard,7,0,-0.0009837746620178223,-0.0009837746620178223,-0.0009837746620178223,30.0,56.666666666666664,7,1
xfg_targeted_dead_code,17,1,-0.04404848989318399,-0.7488243281841278,0.0,34.705882352941174,76.6470588235294,17,1
