sample_id,action,strategy,seed,requested_count,applied_count,valid,baseline_nodes,baseline_edges,perturbed_nodes,perturbed_edges,delta_nodes,delta_edges,baseline_xfg_count,perturbed_xfg_count,baseline_probability,perturbed_probability,delta_probability,baseline_label,perturbed_label,flipped,runtime_ms,operations,validation_errors,error
01_vulnerable_989,data_flow_alias,code_perturbation,,1,1,True,5566,11864,5568,11865,2,1,,,1.0,1.0,0.0,1,1,False,8341.312030001063,inserted 1 alias-preserving data-flow no-op(s) near call arguments,,
01_vulnerable_989,data_flow_alias,code_perturbation,,2,2,True,5566,11864,5588,11903,22,39,,,1.0,1.0,0.0,1,1,False,10308.952618999683,inserted 2 alias-preserving data-flow no-op(s) near call arguments,,
01_vulnerable_989,data_flow_alias,code_perturbation,,3,3,True,5566,11864,5606,11980,40,116,,,1.0,1.0,0.0,1,1,False,7522.093711999332,inserted 3 alias-preserving data-flow no-op(s) near call arguments,,
01_vulnerable_989,data_flow_alias,code_perturbation,,5,5,True,5566,11864,5628,12019,62,155,,,1.0,1.0,0.0,1,1,False,7900.709692001328,inserted 5 alias-preserving data-flow no-op(s) near call arguments,,
01_vulnerable_989,dead_statement,code_perturbation,,1,1,True,5566,11864,5578,11891,12,27,,,1.0,1.0,0.0,1,1,False,8688.84658099887,inserted 1 harmless dummy integer statement pair(s) after first function brace,,
01_vulnerable_989,dead_statement,code_perturbation,,2,2,True,5566,11864,5590,11918,24,54,,,1.0,1.0,0.0,1,1,False,7345.579584000006,inserted 2 harmless dummy integer statement pair(s) after first function brace,,
01_vulnerable_989,dead_statement,code_perturbation,,3,3,True,5566,11864,5602,11945,36,81,,,1.0,1.0,0.0,1,1,False,6814.130849999856,inserted 3 harmless dummy integer statement pair(s) after first function brace,,
01_vulnerable_989,dead_statement,code_perturbation,,5,5,True,5566,11864,5626,11999,60,135,,,1.0,1.0,0.0,1,1,False,6964.937347000159,inserted 5 harmless dummy integer statement pair(s) after first function brace,,
01_vulnerable_989,xfg_targeted_dead_code,code_perturbation,,1,1,True,5566,11864,5568,11865,2,1,,,1.0,1.0,0.0,1,1,False,9477.947721001328,inserted 1 unreachable no-op block(s) near XFG-relevant target lines,,
01_vulnerable_989,xfg_targeted_dead_code,code_perturbation,,2,2,True,5566,11864,5570,11866,4,2,,,1.0,1.0,0.0,1,1,False,7274.693164001292,inserted 2 unreachable no-op block(s) near XFG-relevant target lines,,
