sample_id,label,dataset,source_kind
cvefixes__01_vulnerable_expand_dynamic_string_token,1,cvefixes,input_sources
cvefixes__02_fixed_dl_dst_substitute,0,cvefixes,input_sources
cvefixes__03_fixed_KPasswordDlg_keyPressed,0,cvefixes,input_sources
cvefixes__04_fixed_ia64_patch_rse,0,cvefixes,input_sources
cvefixes__05_fixed_altivec_unavailable_exception,0,cvefixes,input_sources
cvefixes__06_vulnerable_altivec_unavailable_exception,1,cvefixes,input_sources
cvefixes__07_fixed_videobuf_vm_close,0,cvefixes,input_sources
cvefixes__08_vulnerable_videobuf_vm_close,1,cvefixes,input_sources
cvefixes__09_fixed_netlbl_cipsov4_add_common,0,cvefixes,input_sources
cvefixes__10_vulnerable_netlbl_cipsov4_add_common,1,cvefixes,input_sources
cvefixes__11_fixed_generic_perform_write,0,cvefixes,input_sources
cvefixes__12_vulnerable_generic_perform_write,1,cvefixes,input_sources
cvefixes__13_fixed_pango_glyph_string_set_size,0,cvefixes,input_sources
cvefixes__14_vulnerable_pango_glyph_string_set_size,1,cvefixes,input_sources
cvefixes__15_fixed_decode_entities,0,cvefixes,input_sources
cvefixes__16_vulnerable_decode_entities,1,cvefixes,input_sources
cvefixes__17_vulnerable_eval_js,1,cvefixes,input_sources
cvefixes__18_vulnerable_try_read_command,1,cvefixes,input_sources
cvefixes__19_fixed_try_read_network,0,cvefixes,input_sources
cvefixes__20_vulnerable_irssi_ssl_handshake,1,cvefixes,input_sources
cwe119__01_vulnerable_03_vulnerable_30,1,cwe119,input_sources
cwe119__02_vulnerable_04_vulnerable_55,1,cwe119,input_sources
cwe119__03_vulnerable_05_vulnerable_32,1,cwe119,input_sources
cwe119__04_non_vulnerable_06_non-vulnerable_63,0,cwe119,input_sources
cwe119__05_non_vulnerable_07_non-vulnerable_41,0,cwe119,input_sources
cwe119__06_non_vulnerable_08_non-vulnerable_32,0,cwe119,input_sources
cwe119__07_non_vulnerable_09_non-vulnerable_83,0,cwe119,input_sources
cwe119__08_non_vulnerable_10_non-vulnerable_43,0,cwe119,input_sources
cwe119__09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,cwe119,input_sources
cwe119__10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,cwe119,input_sources
cwe119__11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,cwe119,input_sources
cwe119__12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,cwe119,input_sources
cwe119__13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,cwe119,input_sources
cwe119__14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,cwe119,input_sources
cwe119__15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,cwe119,input_sources
cwe119__16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,cwe119,input_sources
cwe119__17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,cwe119,input_sources
cwe119__18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,cwe119,input_sources
cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,cwe119,input_sources
cwe119__20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,cwe119,input_sources
devign__01_vulnerable_static_uint32_t_sh_serial_ioport_rea,1,devign,input_sources
devign__02_vulnerable_static_int_tight_compress_data,1,devign,input_sources
devign__03_vulnerable_void_ff_insert_pad,1,devign,input_sources
devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de,0,devign,input_sources
devign__05_non_vulnerable_static_int_slb_lookup,0,devign,input_sources
devign__06_non_vulnerable_static_void_test_qemu_strtosz_units,0,devign,input_sources
devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu,1,devign,input_sources
devign__08_non_vulnerable_build_tpm_tcpa,0,devign,input_sources
devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio,0,devign,input_sources
devign__10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector,0,devign,input_sources
devign__11_non_vulnerable_vnc_display_setup_auth,0,devign,input_sources
devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b,1,devign,input_sources
devign__13_non_vulnerable_static_void_sctlr_write,0,devign,input_sources
devign__14_vulnerable_static_int_decode_mb_info,1,devign,input_sources
devign__15_vulnerable_static_void_mm_rearm_timer,1,devign,input_sources
devign__16_vulnerable_static_int_mxg_update_cache,1,devign,input_sources
devign__17_vulnerable_static_void_FUNCC,1,devign,input_sources
devign__18_vulnerable_mpeg1_decode_sequence,1,devign,input_sources
devign__19_non_vulnerable_const_char_get_feature_xml,0,devign,input_sources
devign__20_non_vulnerable_static_int_vfio_set_resample_eventfd,0,devign,input_sources
