command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__08_non_vulnerable_build_tpm_tcpa__dead_statement__c1/_work/source/devign__08_non_vulnerable_build_tpm_tcpa__dead_statement__c1.c								
ANR	2	Function	build_tpm_tcpa	1:0:0:1102							
ANR	3	FunctionDef	"build_tpm_tcpa (GArray * table_data , GArray * linker , GArray * tcpalog)"		2	0					
ANR	4	CompoundStatement		3:0:69:1102	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	4:4:75:94	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	5:4:100:116	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	IdentifierDeclStatement	"Acpi20Tcpa * tcpa = acpi_data_push ( table_data , sizeof * tcpa ) ;"	7:4:123:182	2	2	True				
ANR	17	IdentifierDecl	"* tcpa = acpi_data_push ( table_data , sizeof * tcpa )"		2	0					
ANR	18	IdentifierDeclType	Acpi20Tcpa *		2	0					
ANR	19	Identifier	tcpa		2	1					
ANR	20	AssignmentExpression	"* tcpa = acpi_data_push ( table_data , sizeof * tcpa )"		2	2		=			
ANR	21	Identifier	tcpa		2	0					
ANR	22	CallExpression	"acpi_data_push ( table_data , sizeof * tcpa )"		2	1					
ANR	23	Callee	acpi_data_push		2	0					
ANR	24	Identifier	acpi_data_push		2	0					
ANR	25	ArgumentList	table_data		2	1					
ANR	26	Argument	table_data		2	0					
ANR	27	Identifier	table_data		2	0					
ANR	28	Argument	sizeof * tcpa		2	1					
ANR	29	SizeofExpression	sizeof * tcpa		2	0					
ANR	30	Sizeof	sizeof		2	0					
ANR	31	UnaryOperationExpression	* tcpa		2	1					
ANR	32	UnaryOperator	*		2	0					
ANR	33	Identifier	tcpa		2	1					
ANR	34	IdentifierDeclStatement	uint64_t log_area_start_address = acpi_data_len ( tcpalog ) ;	9:4:189:245	2	3	True				
ANR	35	IdentifierDecl	log_area_start_address = acpi_data_len ( tcpalog )		2	0					
ANR	36	IdentifierDeclType	uint64_t		2	0					
ANR	37	Identifier	log_area_start_address		2	1					
ANR	38	AssignmentExpression	log_area_start_address = acpi_data_len ( tcpalog )		2	2		=			
ANR	39	Identifier	log_area_start_address		2	0					
ANR	40	CallExpression	acpi_data_len ( tcpalog )		2	1					
ANR	41	Callee	acpi_data_len		2	0					
ANR	42	Identifier	acpi_data_len		2	0					
ANR	43	ArgumentList	tcpalog		2	1					
ANR	44	Argument	tcpalog		2	0					
ANR	45	Identifier	tcpalog		2	0					
ANR	46	ExpressionStatement	tcpa -> platform_class = cpu_to_le16 ( TPM_TCPA_ACPI_CLASS_CLIENT )	13:4:254:316	2	4	True				
ANR	47	AssignmentExpression	tcpa -> platform_class = cpu_to_le16 ( TPM_TCPA_ACPI_CLASS_CLIENT )		2	0		=			
ANR	48	PtrMemberAccess	tcpa -> platform_class		2	0					
ANR	49	Identifier	tcpa		2	0					
ANR	50	Identifier	platform_class		2	1					
ANR	51	CallExpression	cpu_to_le16 ( TPM_TCPA_ACPI_CLASS_CLIENT )		2	1					
ANR	52	Callee	cpu_to_le16		2	0					
ANR	53	Identifier	cpu_to_le16		2	0					
ANR	54	ArgumentList	TPM_TCPA_ACPI_CLASS_CLIENT		2	1					
ANR	55	Argument	TPM_TCPA_ACPI_CLASS_CLIENT		2	0					
ANR	56	Identifier	TPM_TCPA_ACPI_CLASS_CLIENT		2	0					
ANR	57	ExpressionStatement	tcpa -> log_area_minimum_length = cpu_to_le32 ( TPM_LOG_AREA_MINIMUM_SIZE )	15:4:323:393	2	5	True				
ANR	58	AssignmentExpression	tcpa -> log_area_minimum_length = cpu_to_le32 ( TPM_LOG_AREA_MINIMUM_SIZE )		2	0		=			
ANR	59	PtrMemberAccess	tcpa -> log_area_minimum_length		2	0					
ANR	60	Identifier	tcpa		2	0					
ANR	61	Identifier	log_area_minimum_length		2	1					
ANR	62	CallExpression	cpu_to_le32 ( TPM_LOG_AREA_MINIMUM_SIZE )		2	1					
ANR	63	Callee	cpu_to_le32		2	0					
ANR	64	Identifier	cpu_to_le32		2	0					
ANR	65	ArgumentList	TPM_LOG_AREA_MINIMUM_SIZE		2	1					
ANR	66	Argument	TPM_LOG_AREA_MINIMUM_SIZE		2	0					
ANR	67	Identifier	TPM_LOG_AREA_MINIMUM_SIZE		2	0					
ANR	68	ExpressionStatement	tcpa -> log_area_start_address = cpu_to_le64 ( log_area_start_address )	17:4:400:466	2	6	True				
ANR	69	AssignmentExpression	tcpa -> log_area_start_address = cpu_to_le64 ( log_area_start_address )		2	0		=			
ANR	70	PtrMemberAccess	tcpa -> log_area_start_address		2	0					
ANR	71	Identifier	tcpa		2	0					
ANR	72	Identifier	log_area_start_address		2	1					
ANR	73	CallExpression	cpu_to_le64 ( log_area_start_address )		2	1					
ANR	74	Callee	cpu_to_le64		2	0					
ANR	75	Identifier	cpu_to_le64		2	0					
ANR	76	ArgumentList	log_area_start_address		2	1					
ANR	77	Argument	log_area_start_address		2	0					
ANR	78	Identifier	log_area_start_address		2	0					
ANR	79	ExpressionStatement	"bios_linker_loader_alloc ( linker , ACPI_BUILD_TPMLOG_FILE , 1 , false )"	21:4:475:589	2	7	True				
ANR	80	CallExpression	"bios_linker_loader_alloc ( linker , ACPI_BUILD_TPMLOG_FILE , 1 , false )"		2	0					
ANR	81	Callee	bios_linker_loader_alloc		2	0					
ANR	82	Identifier	bios_linker_loader_alloc		2	0					
ANR	83	ArgumentList	linker		2	1					
ANR	84	Argument	linker		2	0					
ANR	85	Identifier	linker		2	0					
ANR	86	Argument	ACPI_BUILD_TPMLOG_FILE		2	1					
ANR	87	Identifier	ACPI_BUILD_TPMLOG_FILE		2	0					
ANR	88	Argument	1		2	2					
ANR	89	PrimaryExpression	1		2	0					
ANR	90	Argument	false		2	3					
ANR	91	Identifier	false		2	0					
ANR	92	ExpressionStatement	"bios_linker_loader_add_pointer ( linker , ACPI_BUILD_TABLE_FILE , ACPI_BUILD_TPMLOG_FILE , table_data , & tcpa -> log_area_start_address , sizeof ( tcpa -> log_area_start_address ) )"	29:4:661:935	2	8	True				
ANR	93	CallExpression	"bios_linker_loader_add_pointer ( linker , ACPI_BUILD_TABLE_FILE , ACPI_BUILD_TPMLOG_FILE , table_data , & tcpa -> log_area_start_address , sizeof ( tcpa -> log_area_start_address ) )"		2	0					
ANR	94	Callee	bios_linker_loader_add_pointer		2	0					
ANR	95	Identifier	bios_linker_loader_add_pointer		2	0					
ANR	96	ArgumentList	linker		2	1					
ANR	97	Argument	linker		2	0					
ANR	98	Identifier	linker		2	0					
ANR	99	Argument	ACPI_BUILD_TABLE_FILE		2	1					
ANR	100	Identifier	ACPI_BUILD_TABLE_FILE		2	0					
ANR	101	Argument	ACPI_BUILD_TPMLOG_FILE		2	2					
ANR	102	Identifier	ACPI_BUILD_TPMLOG_FILE		2	0					
ANR	103	Argument	table_data		2	3					
ANR	104	Identifier	table_data		2	0					
ANR	105	Argument	& tcpa -> log_area_start_address		2	4					
ANR	106	UnaryOperationExpression	& tcpa -> log_area_start_address		2	0					
ANR	107	UnaryOperator	&		2	0					
ANR	108	PtrMemberAccess	tcpa -> log_area_start_address		2	1					
ANR	109	Identifier	tcpa		2	0					
ANR	110	Identifier	log_area_start_address		2	1					
ANR	111	Argument	sizeof ( tcpa -> log_area_start_address )		2	5					
ANR	112	SizeofExpression	sizeof ( tcpa -> log_area_start_address )		2	0					
ANR	113	Sizeof	sizeof		2	0					
ANR	114	PtrMemberAccess	tcpa -> log_area_start_address		2	1					
ANR	115	Identifier	tcpa		2	0					
ANR	116	Identifier	log_area_start_address		2	1					
ANR	117	ExpressionStatement	"build_header ( linker , table_data , ( void * ) tcpa , ""TCPA"" , sizeof ( * tcpa ) , 2 , NULL )"	39:4:944:1040	2	9	True				
ANR	118	CallExpression	"build_header ( linker , table_data , ( void * ) tcpa , ""TCPA"" , sizeof ( * tcpa ) , 2 , NULL )"		2	0					
ANR	119	Callee	build_header		2	0					
ANR	120	Identifier	build_header		2	0					
ANR	121	ArgumentList	linker		2	1					
ANR	122	Argument	linker		2	0					
ANR	123	Identifier	linker		2	0					
ANR	124	Argument	table_data		2	1					
ANR	125	Identifier	table_data		2	0					
ANR	126	Argument	( void * ) tcpa		2	2					
ANR	127	CastExpression	( void * ) tcpa		2	0					
ANR	128	CastTarget	void *		2	0					
ANR	129	Identifier	tcpa		2	1					
ANR	130	Argument	"""TCPA"""		2	3					
