sample,function,true_label,status,label,correct,prob,nodes,edges,xfg_count,winner_category,winner_key_line,winner_raw_nodes,winner_nodes,winner_fallback
01_vulnerable_989,stonesoup_setup_printf_context,1,ok,1,1,1.0,537,882,201,call,996,6,6,winner_xfg
02_vulnerable_4064,stonesoup_setup_printf_context,1,ok,1,1,1.0,1848,5961,1064,call,4078,12,12,winner_xfg
03_vulnerable_30,if,1,ok,1,1,1.0,43,70,41,call,30,9,9,winner_xfg
04_vulnerable_55,main,1,ok,1,1,0.9979877471923828,6,6,4,call,61,4,4,winner_xfg
05_vulnerable_32,badSink,1,ok,1,1,0.9999673366546631,10,8,4,call,38,4,4,winner_xfg
06_non-vulnerable_63,bad,0,ok,0,1,0.0005112715298309922,12,14,8,call,89,0,5,nearest_pdg_nodes
07_non-vulnerable_41,bad,0,ok,0,1,0.0005112715298309922,14,16,5,call,102,0,5,nearest_pdg_nodes
08_non-vulnerable_32,CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad,0,ok,0,1,0.0005112715298309922,4,2,5,call,73,0,4,nearest_pdg_nodes
09_non-vulnerable_83,bad,0,ok,1,0,0.533716082572937,20,23,18,call,41,2,2,winner_xfg
10_non-vulnerable_43,bad,0,ok,1,0,0.9253519773483276,16,18,9,array,41,3,3,winner_xfg
