/workspace/src/models/modules/gnns.py:39: UserWarning: 'nn.glob.GlobalAttention' is deprecated, use 'nn.aggr.AttentionalAggregation' instead
  self.attpool = GlobalAttention(torch.nn.Linear(config.hidden_size, 1))
[1/60] cvefixes__01_vulnerable_expand_dynamic_string_token: true=1, baseline=0 p=0.071344, correct=False, winner=19
[2/60] cvefixes__02_fixed_dl_dst_substitute: true=0, baseline=0 p=0.000000, correct=True, winner=22
  winner_xfg_edge_attack b=1 s=7: applied=1, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=3 s=7: applied=3, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=5 s=7: applied=5, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=7 s=7: applied=7, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=9 s=7: applied=9, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=11 s=7: applied=11, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=13 s=7: applied=13, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=15 s=7: applied=15, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=20 s=7: applied=20, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=25 s=7: applied=25, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=1 s=17: applied=1, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=3 s=17: applied=3, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=5 s=17: applied=5, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=7 s=17: applied=7, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=9 s=17: applied=9, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=11 s=17: applied=11, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=13 s=17: applied=13, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=15 s=17: applied=15, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=20 s=17: applied=20, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=25 s=17: applied=25, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=1 s=29: applied=1, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=3 s=29: applied=3, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=5 s=29: applied=5, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=7 s=29: applied=7, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=9 s=29: applied=9, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=11 s=29: applied=11, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=13 s=29: applied=13, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=15 s=29: applied=15, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=20 s=29: applied=20, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=25 s=29: applied=25, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=1 s=42: applied=1, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=3 s=42: applied=3, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=5 s=42: applied=5, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=7 s=42: applied=7, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=9 s=42: applied=9, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=11 s=42: applied=11, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=13 s=42: applied=13, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=15 s=42: applied=15, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=20 s=42: applied=20, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=25 s=42: applied=25, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=1 s=61: applied=1, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=3 s=61: applied=3, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=5 s=61: applied=5, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=7 s=61: applied=7, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=9 s=61: applied=9, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=11 s=61: applied=11, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=13 s=61: applied=13, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=15 s=61: applied=15, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=20 s=61: applied=20, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=25 s=61: applied=25, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=1 s=73: applied=1, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=3 s=73: applied=3, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=5 s=73: applied=5, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=7 s=73: applied=7, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=9 s=73: applied=9, nested=True, p=0.000000, flip=False, attack_success=False, error=none
  winner_xfg_edge_attack b=11 s=73: applied=11, nested=True, p=0.000000, flip=False, attack_success=False, error=none
