/workspace/src/models/modules/gnns.py:39: UserWarning: 'nn.glob.GlobalAttention' is deprecated, use 'nn.aggr.AttentionalAggregation' instead
  self.attpool = GlobalAttention(torch.nn.Linear(config.hidden_size, 1))
[1/60] cvefixes__01_vulnerable_expand_dynamic_string_token: baseline p=0.071344, label=0, PDG=9/15, XFG=3
  node_add b=1 s=7: applied=1, nested=True, p=0.065249, flip=False, error=none
  node_add b=3 s=7: applied=3, nested=True, p=0.142764, flip=False, error=none
  node_add b=5 s=7: applied=5, nested=True, p=0.141500, flip=False, error=none
  node_add b=7 s=7: applied=7, nested=True, p=0.141500, flip=False, error=none
  node_add b=9 s=7: applied=9, nested=True, p=0.206706, flip=False, error=none
  node_add b=11 s=7: applied=11, nested=True, p=0.354356, flip=False, error=none
  node_add b=13 s=7: applied=13, nested=True, p=0.311260, flip=False, error=none
  node_add b=15 s=7: applied=15, nested=True, p=0.309508, flip=False, error=none
  node_add b=20 s=7: applied=20, nested=True, p=0.310294, flip=False, error=none
  node_add b=25 s=7: applied=25, nested=True, p=0.529135, flip=True, error=none
  node_add b=1 s=17: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=17: applied=3, nested=True, p=0.069245, flip=False, error=none
  node_add b=5 s=17: applied=5, nested=True, p=0.048210, flip=False, error=none
  node_add b=7 s=17: applied=7, nested=True, p=0.074136, flip=False, error=none
  node_add b=9 s=17: applied=9, nested=True, p=0.148992, flip=False, error=none
  node_add b=11 s=17: applied=11, nested=True, p=0.148992, flip=False, error=none
  node_add b=13 s=17: applied=13, nested=True, p=0.117824, flip=False, error=none
  node_add b=15 s=17: applied=15, nested=True, p=0.117824, flip=False, error=none
  node_add b=20 s=17: applied=20, nested=True, p=0.092706, flip=False, error=none
  node_add b=25 s=17: applied=25, nested=True, p=0.110336, flip=False, error=none
  node_add b=1 s=29: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=29: applied=3, nested=True, p=0.065249, flip=False, error=none
  node_add b=5 s=29: applied=5, nested=True, p=0.065249, flip=False, error=none
  node_add b=7 s=29: applied=7, nested=True, p=0.065249, flip=False, error=none
  node_add b=9 s=29: applied=9, nested=True, p=0.060459, flip=False, error=none
  node_add b=11 s=29: applied=11, nested=True, p=0.060459, flip=False, error=none
  node_add b=13 s=29: applied=13, nested=True, p=0.125439, flip=False, error=none
  node_add b=15 s=29: applied=15, nested=True, p=0.101374, flip=False, error=none
  node_add b=20 s=29: applied=20, nested=True, p=0.462385, flip=False, error=none
  node_add b=25 s=29: applied=25, nested=True, p=0.597515, flip=True, error=none
  node_add b=1 s=42: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=42: applied=3, nested=True, p=0.056345, flip=False, error=none
  node_add b=5 s=42: applied=5, nested=True, p=0.240212, flip=False, error=none
  node_add b=7 s=42: applied=7, nested=True, p=0.300858, flip=False, error=none
  node_add b=9 s=42: applied=9, nested=True, p=0.384502, flip=False, error=none
  node_add b=11 s=42: applied=11, nested=True, p=0.444343, flip=False, error=none
  node_add b=13 s=42: applied=13, nested=True, p=0.448957, flip=False, error=none
  node_add b=15 s=42: applied=15, nested=True, p=0.427929, flip=False, error=none
  node_add b=20 s=42: applied=20, nested=True, p=0.532874, flip=True, error=none
  node_add b=25 s=42: applied=25, nested=True, p=0.495110, flip=False, error=none
  node_add b=1 s=61: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=61: applied=3, nested=True, p=0.127762, flip=False, error=none
  node_add b=5 s=61: applied=5, nested=True, p=0.390004, flip=False, error=none
  node_add b=7 s=61: applied=7, nested=True, p=0.333357, flip=False, error=none
  node_add b=9 s=61: applied=9, nested=True, p=0.338773, flip=False, error=none
  node_add b=11 s=61: applied=11, nested=True, p=0.338773, flip=False, error=none
  node_add b=13 s=61: applied=13, nested=True, p=0.337316, flip=False, error=none
  node_add b=15 s=61: applied=15, nested=True, p=0.407167, flip=False, error=none
  node_add b=20 s=61: applied=20, nested=True, p=0.503316, flip=True, error=none
  node_add b=25 s=61: applied=25, nested=True, p=0.594574, flip=True, error=none
  node_add b=1 s=73: applied=1, nested=True, p=0.056345, flip=False, error=none
  node_add b=3 s=73: applied=3, nested=True, p=0.056345, flip=False, error=none
  node_add b=5 s=73: applied=5, nested=True, p=0.056345, flip=False, error=none
  node_add b=7 s=73: applied=7, nested=True, p=0.104702, flip=False, error=none
  node_add b=9 s=73: applied=9, nested=True, p=0.096083, flip=False, error=none
  node_add b=11 s=73: applied=11, nested=True, p=0.096083, flip=False, error=none
  node_add b=13 s=73: applied=13, nested=True, p=0.077431, flip=False, error=none
  node_add b=15 s=73: applied=15, nested=True, p=0.091508, flip=False, error=none
  node_add b=20 s=73: applied=20, nested=True, p=0.197912, flip=False, error=none
  node_add b=25 s=73: applied=25, nested=True, p=0.115697, flip=False, error=none
  node_add b=1 s=89: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=89: applied=3, nested=True, p=0.056345, flip=False, error=none
  node_add b=5 s=89: applied=5, nested=True, p=0.114689, flip=False, error=none
  node_add b=7 s=89: applied=7, nested=True, p=0.096743, flip=False, error=none
  node_add b=9 s=89: applied=9, nested=True, p=0.074931, flip=False, error=none
  node_add b=11 s=89: applied=11, nested=True, p=0.081805, flip=False, error=none
  node_add b=13 s=89: applied=13, nested=True, p=0.081805, flip=False, error=none
  node_add b=15 s=89: applied=15, nested=True, p=0.102159, flip=False, error=none
  node_add b=20 s=89: applied=20, nested=True, p=0.073913, flip=False, error=none
  node_add b=25 s=89: applied=25, nested=True, p=0.113123, flip=False, error=none
  node_add b=1 s=101: applied=1, nested=True, p=0.171676, flip=False, error=none
  node_add b=3 s=101: applied=3, nested=True, p=0.196279, flip=False, error=none
  node_add b=5 s=101: applied=5, nested=True, p=0.196279, flip=False, error=none
  node_add b=7 s=101: applied=7, nested=True, p=0.196279, flip=False, error=none
  node_add b=9 s=101: applied=9, nested=True, p=0.188018, flip=False, error=none
  node_add b=11 s=101: applied=11, nested=True, p=0.328888, flip=False, error=none
  node_add b=13 s=101: applied=13, nested=True, p=0.296002, flip=False, error=none
  node_add b=15 s=101: applied=15, nested=True, p=0.316620, flip=False, error=none
  node_add b=20 s=101: applied=20, nested=True, p=0.292139, flip=False, error=none
  node_add b=25 s=101: applied=25, nested=True, p=0.602330, flip=True, error=none
  node_add b=1 s=137: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=137: applied=3, nested=True, p=0.156763, flip=False, error=none
  node_add b=5 s=137: applied=5, nested=True, p=0.222114, flip=False, error=none
  node_add b=7 s=137: applied=7, nested=True, p=0.334561, flip=False, error=none
  node_add b=9 s=137: applied=9, nested=True, p=0.291291, flip=False, error=none
  node_add b=11 s=137: applied=11, nested=True, p=0.266226, flip=False, error=none
  node_add b=13 s=137: applied=13, nested=True, p=0.242492, flip=False, error=none
  node_add b=15 s=137: applied=15, nested=True, p=0.217870, flip=False, error=none
  node_add b=20 s=137: applied=20, nested=True, p=0.245070, flip=False, error=none
  node_add b=25 s=137: applied=25, nested=True, p=0.211185, flip=False, error=none
  node_add b=1 s=2026: applied=1, nested=True, p=0.071344, flip=False, error=none
  node_add b=3 s=2026: applied=3, nested=True, p=0.065249, flip=False, error=none
  node_add b=5 s=2026: applied=5, nested=True, p=0.091504, flip=False, error=none
  node_add b=7 s=2026: applied=7, nested=True, p=0.082726, flip=False, error=none
  node_add b=9 s=2026: applied=9, nested=True, p=0.055030, flip=False, error=none
  node_add b=11 s=2026: applied=11, nested=True, p=0.051969, flip=False, error=none
  node_add b=13 s=2026: applied=13, nested=True, p=0.049537, flip=False, error=none
  node_add b=15 s=2026: applied=15, nested=True, p=0.049537, flip=False, error=none
  node_add b=20 s=2026: applied=20, nested=True, p=0.230105, flip=False, error=none
  node_add b=25 s=2026: applied=25, nested=True, p=0.295806, flip=False, error=none
  node_delete b=1 s=7: applied=1, nested=True, p=0.060508, flip=False, error=none
  node_delete b=3 s=7: applied=3, nested=True, p=0.824067, flip=True, error=none
  node_delete b=5 s=7: applied=5, nested=True, p=0.600936, flip=True, error=none
  node_delete b=7 s=7: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=7: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=7: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=7: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=7: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=7: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=7: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=17: applied=1, nested=True, p=0.181209, flip=False, error=none
  node_delete b=3 s=17: applied=3, nested=True, p=0.147287, flip=False, error=none
  node_delete b=5 s=17: applied=5, nested=True, p=0.869945, flip=True, error=none
  node_delete b=7 s=17: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=17: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=17: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=17: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=17: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=17: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=17: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=29: applied=1, nested=True, p=0.181209, flip=False, error=none
  node_delete b=3 s=29: applied=3, nested=True, p=0.198139, flip=False, error=none
  node_delete b=5 s=29: applied=5, nested=True, p=0.343431, flip=False, error=none
  node_delete b=7 s=29: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=29: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=29: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=29: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=29: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=29: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=29: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=42: applied=1, nested=True, p=0.814023, flip=True, error=none
  node_delete b=3 s=42: applied=3, nested=True, p=0.729857, flip=True, error=none
  node_delete b=5 s=42: applied=5, nested=True, p=0.219044, flip=False, error=none
  node_delete b=7 s=42: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=42: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=42: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=42: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=42: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=42: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=42: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=61: applied=1, nested=True, p=0.111665, flip=False, error=none
  node_delete b=3 s=61: applied=3, nested=True, p=0.505477, flip=True, error=none
  node_delete b=5 s=61: applied=5, nested=True, p=0.552409, flip=True, error=none
  node_delete b=7 s=61: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=61: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=61: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=61: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=61: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=61: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=61: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=73: applied=1, nested=True, p=0.060508, flip=False, error=none
  node_delete b=3 s=73: applied=3, nested=True, p=0.067465, flip=False, error=none
  node_delete b=5 s=73: applied=5, nested=True, p=0.733671, flip=True, error=none
  node_delete b=7 s=73: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=73: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=73: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=73: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=73: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=73: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=73: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=89: applied=1, nested=True, p=0.038099, flip=False, error=none
  node_delete b=3 s=89: applied=3, nested=True, p=0.751531, flip=True, error=none
  node_delete b=5 s=89: applied=5, nested=True, p=0.219044, flip=False, error=none
  node_delete b=7 s=89: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=89: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=89: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=89: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=89: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=89: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=89: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=101: applied=1, nested=True, p=0.181209, flip=False, error=none
  node_delete b=3 s=101: applied=3, nested=True, p=0.583069, flip=True, error=none
  node_delete b=5 s=101: applied=5, nested=True, p=0.552409, flip=True, error=none
  node_delete b=7 s=101: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=101: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=101: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=101: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=101: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=101: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=101: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=137: applied=1, nested=True, p=0.038099, flip=False, error=none
  node_delete b=3 s=137: applied=3, nested=True, p=0.600936, flip=True, error=none
  node_delete b=5 s=137: applied=5, nested=True, p=0.219044, flip=False, error=none
  node_delete b=7 s=137: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=137: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=137: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=137: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=137: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=137: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=137: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=1 s=2026: applied=1, nested=True, p=0.038099, flip=False, error=none
  node_delete b=3 s=2026: applied=3, nested=True, p=0.224588, flip=False, error=none
  node_delete b=5 s=2026: applied=5, nested=True, p=0.067465, flip=False, error=none
  node_delete b=7 s=2026: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=9 s=2026: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=11 s=2026: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=13 s=2026: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=15 s=2026: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=20 s=2026: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_delete b=25 s=2026: applied=7, nested=True, p=0.733671, flip=True, error=none
  node_attribute_modify b=1 s=7: applied=1, nested=True, p=0.100179, flip=False, error=none
  node_attribute_modify b=3 s=7: applied=3, nested=True, p=0.118488, flip=False, error=none
  node_attribute_modify b=5 s=7: applied=5, nested=True, p=0.628146, flip=True, error=none
  node_attribute_modify b=7 s=7: applied=7, nested=True, p=0.726948, flip=True, error=none
  node_attribute_modify b=9 s=7: applied=9, nested=True, p=0.779839, flip=True, error=none
  node_attribute_modify b=11 s=7: applied=11, nested=True, p=0.034287, flip=False, error=none
  node_attribute_modify b=13 s=7: applied=13, nested=True, p=0.173667, flip=False, error=none
  node_attribute_modify b=15 s=7: applied=15, nested=True, p=0.173667, flip=False, error=none
  node_attribute_modify b=20 s=7: applied=20, nested=True, p=0.830315, flip=True, error=none
  node_attribute_modify b=25 s=7: applied=25, nested=True, p=0.791371, flip=True, error=none
  node_attribute_modify b=1 s=17: applied=1, nested=True, p=0.075840, flip=False, error=none
  node_attribute_modify b=3 s=17: applied=3, nested=True, p=0.187020, flip=False, error=none
  node_attribute_modify b=5 s=17: applied=5, nested=True, p=0.201778, flip=False, error=none
  node_attribute_modify b=7 s=17: applied=7, nested=True, p=0.288446, flip=False, error=none
  node_attribute_modify b=9 s=17: applied=9, nested=True, p=0.288446, flip=False, error=none
  node_attribute_modify b=11 s=17: applied=11, nested=True, p=0.843424, flip=True, error=none
  node_attribute_modify b=13 s=17: applied=13, nested=True, p=0.910615, flip=True, error=none
  node_attribute_modify b=15 s=17: applied=15, nested=True, p=0.940842, flip=True, error=none
  node_attribute_modify b=20 s=17: applied=20, nested=True, p=0.930825, flip=True, error=none
