action,budget,seed_count,attempted,successful,failed,fully_applied,flips,attack_eligible,attack_successes,attack_success_rate,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_applied_count,mean_runtime_ms
node_add,1,10,580,580,0,580,0,300,0,0.0,-0.0017473564975883887,0.005168303591686746,0.3833557814359665,1.0,47.335624168959086
node_add,3,10,580,580,0,580,2,300,2,0.006666666666666667,0.006020195743210652,0.027928959786971054,0.7589388564229012,3.0,49.350833763788486
node_add,5,10,580,580,0,580,4,300,4,0.013333333333333334,-0.003884457811492186,0.05311599832166579,0.8481655195355415,5.0,49.46414793965561
node_add,7,10,580,580,0,580,10,300,7,0.023333333333333334,-0.0025024835511060356,0.06681804147571484,0.9962987212929875,7.0,49.27534053104072
node_add,9,10,580,580,0,580,15,300,11,0.03666666666666667,-0.00039987410582980666,0.08247750622057863,0.9874855189118534,9.0,50.815337137921766
node_add,11,10,580,580,0,580,16,300,11,0.03666666666666667,-0.0011822548387739463,0.08719701336869427,0.9931822467915481,11.0,50.09843172585753
node_add,13,10,580,580,0,580,17,300,13,0.043333333333333335,-0.006261375388372684,0.08900409567558494,0.9980899004731327,13.0,50.669000125863256
node_add,15,10,580,580,0,580,21,300,16,0.05333333333333334,-0.007039267444275394,0.094788033131521,0.9978076724801213,15.0,51.702442067235964
node_add,20,10,580,580,0,580,27,300,17,0.056666666666666664,-0.013450742275670894,0.10517611315033323,0.9964893538272008,20.0,51.327067375868786
node_add,25,10,580,580,0,580,33,300,20,0.06666666666666667,-0.009780952949799438,0.11614136534488177,0.9985755591187626,25.0,54.261537022414124
node_delete,1,10,580,580,0,580,11,300,4,0.013333333333333334,-0.011514901422320662,0.048236666642701743,0.9273536251857877,1.0,49.21997117929738
node_delete,3,10,580,442,138,432,29,236,8,0.03389830508474576,0.008047982921280615,0.06683972769449872,0.9529990600422025,2.97737556561086,57.51406807691876
node_delete,5,10,580,431,149,391,36,232,15,0.06465517241379311,0.01527579384971953,0.086545361494163,0.925355553627002,4.837587006960557,57.712928271470226
node_delete,7,10,580,413,167,253,42,228,17,0.07456140350877193,0.011000942232111644,0.09885853725153995,0.925355553627002,6.249394673123486,58.58695070218154
node_delete,9,10,580,406,174,236,42,226,21,0.09292035398230089,0.02885032315651433,0.10788400808285353,0.9114070581272244,7.399014778325123,59.406986618221914
node_delete,11,10,580,402,178,192,38,222,18,0.08108108108108109,0.03416183340228429,0.11524993037028136,0.9114070581272244,8.388059701492537,58.893712507452996
node_delete,13,10,580,399,181,189,46,219,25,0.1141552511415525,0.04193218674615432,0.12900609685599213,0.9952434210572392,9.31578947368421,59.89614197994712
node_delete,15,10,580,398,182,178,45,218,25,0.11467889908256881,0.03898902657913256,0.1276467492093524,0.9114070581272244,10.201005025125628,58.680065919589886
node_delete,20,10,580,387,193,137,46,207,26,0.12560386473429952,0.0434431864597292,0.1368989605145394,0.9217051938176155,11.912144702842378,59.81713722221402
node_delete,25,10,580,380,200,80,52,200,31,0.155,0.043621529799348926,0.1456230592229018,0.9114070581272244,13.157894736842104,58.89647772631801
node_attribute_modify,1,10,580,580,0,580,10,300,4,0.013333333333333334,-0.008667288816867387,0.038028768662619776,0.9253554540174349,1.0,48.782168558618025
node_attribute_modify,3,10,580,580,0,580,38,300,10,0.03333333333333333,-0.018815199891562134,0.09118450456666058,0.9985933568095788,3.0,48.95919578965191
node_attribute_modify,5,10,580,580,0,580,38,300,16,0.05333333333333334,-0.0370719482120027,0.10910929445889442,0.9985933568095788,5.0,49.24041679655524
node_attribute_modify,7,10,580,580,0,580,47,300,20,0.06666666666666667,-0.03406998604162985,0.13004564712463035,0.9947043971624225,7.0,49.944372634485234
node_attribute_modify,9,10,580,580,0,580,54,300,22,0.07333333333333333,-0.032638005418723755,0.14018283362399922,0.9984937815461308,9.0,50.34258512758218
node_attribute_modify,11,10,580,580,0,576,60,300,21,0.07,-0.029277346020971227,0.15302053098491944,0.9983736781869084,10.986206896551725,50.70036760516383
node_attribute_modify,13,10,580,580,0,576,56,300,23,0.07666666666666666,-0.03389926460823376,0.15237060182709383,0.9974185733590275,12.972413793103449,51.170577944825204
node_attribute_modify,15,10,580,580,0,574,60,300,28,0.09333333333333334,-0.027276076043820364,0.1507989233837105,0.9970993904862553,14.955172413793104,52.618472872410194
node_attribute_modify,20,10,580,580,0,570,78,300,37,0.12333333333333334,-0.017121691269453686,0.17359224261717954,0.9958047473337501,19.875862068965517,51.65270992069023
node_attribute_modify,25,10,580,580,0,570,87,300,40,0.13333333333333333,-0.010354544396290853,0.1723894083700942,0.9875174509361386,24.78965517241379,53.56253900173324
edge_add,1,10,580,580,0,580,17,300,6,0.02,-0.013966141544296339,0.040062917851704856,0.9253554540174349,1.0,49.64467401207183
edge_add,3,10,580,580,0,580,33,300,12,0.04,-0.01805286361050883,0.06995411710880764,0.9932221374474466,3.0,47.90328367931493
edge_add,5,10,580,580,0,580,33,300,9,0.03,-0.04020822009947574,0.07985065609877764,0.9993421830004081,5.0,49.32084566551857
edge_add,7,10,580,580,0,580,32,300,12,0.04,-0.0550096034575805,0.09879619281467204,0.9842111691832542,7.0,51.26754524310007
