method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
edge_add,1,7,58,58,30,1,0.03333333333333333,1.0,0.027039072988754347
edge_add,1,17,58,58,30,0,0.0,1.0,0.029924055630155915
edge_add,1,29,58,58,30,1,0.03333333333333333,1.0,0.06333780883038907
edge_add,1,42,58,58,30,0,0.0,1.0,0.058083941300565774
edge_add,1,61,58,58,30,0,0.0,1.0,0.036913610458810295
edge_add,1,73,58,58,30,0,0.0,1.0,0.02420393243264429
edge_add,1,89,58,58,30,2,0.06666666666666667,1.0,0.02796920401141127
edge_add,1,101,58,58,30,1,0.03333333333333333,1.0,0.04351635056146284
edge_add,1,137,58,58,30,1,0.03333333333333333,1.0,0.026599829986401716
edge_add,1,2026,58,58,30,0,0.0,1.0,0.06304137231645283
edge_add,3,7,58,58,30,1,0.03333333333333333,1.0,0.06019935705785046
edge_add,3,17,58,58,30,1,0.03333333333333333,1.0,0.07200887456065104
edge_add,3,29,58,58,30,1,0.03333333333333333,1.0,0.07885219201841032
edge_add,3,42,58,58,30,0,0.0,1.0,0.06881269982713664
edge_add,3,61,58,58,30,1,0.03333333333333333,1.0,0.027521430193381692
edge_add,3,73,58,58,30,2,0.06666666666666667,1.0,0.12216520285364321
edge_add,3,89,58,58,30,1,0.03333333333333333,1.0,0.026315908563317256
edge_add,3,101,58,58,30,1,0.03333333333333333,1.0,0.07102155286460962
edge_add,3,137,58,58,30,2,0.06666666666666667,1.0,0.07190686155407455
edge_add,3,2026,58,58,30,2,0.06666666666666667,1.0,0.10073709159500141
edge_add,5,7,58,58,30,1,0.03333333333333333,1.0,0.09718449021547831
edge_add,5,17,58,58,30,1,0.03333333333333333,1.0,0.056117181460402794
edge_add,5,29,58,58,30,1,0.03333333333333333,1.0,0.05136757375359309
edge_add,5,42,58,58,30,0,0.0,1.0,0.08322482726147483
edge_add,5,61,58,58,30,0,0.0,1.0,0.033992738106378546
edge_add,5,73,58,58,30,0,0.0,1.0,0.11154851962813699
edge_add,5,89,58,58,30,0,0.0,1.0,0.07543141923297494
edge_add,5,101,58,58,30,1,0.03333333333333333,1.0,0.0920700897883605
edge_add,5,137,58,58,30,3,0.1,1.0,0.09146403947506876
edge_add,5,2026,58,58,30,2,0.06666666666666667,1.0,0.1061056820659076
edge_add,7,7,58,58,30,1,0.03333333333333333,1.0,0.11194186457432427
edge_add,7,17,58,58,30,1,0.03333333333333333,1.0,0.07007964424676925
edge_add,7,29,58,58,30,0,0.0,1.0,0.0635134688523686
edge_add,7,42,58,58,30,2,0.06666666666666667,1.0,0.11647823489668134
edge_add,7,61,58,58,30,1,0.03333333333333333,1.0,0.09740281570051784
edge_add,7,73,58,58,30,0,0.0,1.0,0.10405311936765352
edge_add,7,89,58,58,30,1,0.03333333333333333,1.0,0.09780156039182858
edge_add,7,101,58,58,30,2,0.06666666666666667,1.0,0.12300506401119514
edge_add,7,137,58,58,30,3,0.1,1.0,0.10153575467142627
edge_add,7,2026,58,58,30,1,0.03333333333333333,1.0,0.10215040143395536
edge_add,9,7,58,58,30,0,0.0,1.0,0.09468323881790723
edge_add,9,17,58,58,30,1,0.03333333333333333,1.0,0.09412679379885837
edge_add,9,29,58,58,30,0,0.0,1.0,0.09228362677882673
edge_add,9,42,58,58,30,3,0.1,1.0,0.11999192224476941
edge_add,9,61,58,58,30,0,0.0,1.0,0.09383993346636728
edge_add,9,73,58,58,30,1,0.03333333333333333,1.0,0.09608891888569818
edge_add,9,89,58,58,30,1,0.03333333333333333,1.0,0.09943193029268617
edge_add,9,101,58,58,30,1,0.03333333333333333,1.0,0.12268542441217203
edge_add,9,137,58,58,30,2,0.06666666666666667,1.0,0.11660307521829247
edge_add,9,2026,58,58,30,1,0.03333333333333333,1.0,0.11035070964242626
edge_add,11,7,58,58,30,2,0.06666666666666667,1.0,0.12052363151317236
edge_add,11,17,58,58,30,1,0.03333333333333333,1.0,0.09654072689018699
edge_add,11,29,58,58,30,0,0.0,1.0,0.09834216252233
edge_add,11,42,58,58,30,1,0.03333333333333333,1.0,0.09721148846568693
edge_add,11,61,58,58,30,1,0.03333333333333333,1.0,0.10467212072553053
edge_add,11,73,58,58,30,1,0.03333333333333333,1.0,0.10736252436198303
edge_add,11,89,58,58,30,2,0.06666666666666667,1.0,0.1367316070218536
edge_add,11,101,58,58,30,0,0.0,1.0,0.11420478674753833
edge_add,11,137,58,58,30,2,0.06666666666666667,1.0,0.1272860846900973
edge_add,11,2026,58,58,30,1,0.03333333333333333,1.0,0.11392066768522983
edge_add,13,7,58,58,30,2,0.06666666666666667,1.0,0.1309983731956215
edge_add,13,17,58,58,30,1,0.03333333333333333,1.0,0.12746819603487652
edge_add,13,29,58,58,30,0,0.0,1.0,0.08598398549461969
edge_add,13,42,58,58,30,1,0.03333333333333333,1.0,0.10644622221442826
edge_add,13,61,58,58,30,2,0.06666666666666667,1.0,0.13043692848621843
edge_add,13,73,58,58,30,1,0.03333333333333333,1.0,0.1173047432604639
edge_add,13,89,58,58,30,2,0.06666666666666667,1.0,0.14002008546779782
edge_add,13,101,58,58,30,0,0.0,1.0,0.11630671811864553
edge_add,13,137,58,58,30,1,0.03333333333333333,1.0,0.12750920148626535
edge_add,13,2026,58,58,30,2,0.06666666666666667,1.0,0.13542433316361546
edge_add,15,7,58,58,30,2,0.06666666666666667,1.0,0.14422857525399807
edge_add,15,17,58,58,30,1,0.03333333333333333,1.0,0.13547320357339762
