action,budget,seed_count,count,flips,attack_eligible,attack_successes,attack_success_rate,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,mean_applied_count,attempted,failed
node_add,1,10,580,0,300,0,0.0,-0.0017473564975883887,-0.3833557814359665,0.3675020979717374,1.0,1.0,1.0,580,0
node_add,3,10,580,2,300,2,0.006666666666666667,0.006020195743210652,-0.6003481447696686,0.7589388564229012,3.0,3.0,3.0,580,0
node_add,5,10,580,4,300,4,0.013333333333333334,-0.003884457811492186,-0.6962780505418777,0.8481655195355415,5.0,5.0,5.0,580,0
node_add,7,10,580,10,300,7,0.023333333333333334,-0.0025024835511060356,-0.7886952906847,0.9962987212929875,7.0,7.0,7.0,580,0
node_add,9,10,580,15,300,11,0.03666666666666667,-0.00039987410582980666,-0.8531116396188736,0.9874855189118534,9.0,9.0,9.0,580,0
node_add,11,10,580,16,300,11,0.03666666666666667,-0.0011822548387739463,-0.9397973269224167,0.9931822467915481,11.0,11.0,11.0,580,0
node_add,13,10,580,17,300,13,0.043333333333333335,-0.006261375388372684,-0.9343740418553352,0.9980899004731327,13.0,13.0,13.0,580,0
node_add,15,10,580,21,300,16,0.05333333333333334,-0.007039267444275394,-0.95670210942626,0.9978076724801213,15.0,15.0,15.0,580,0
node_add,20,10,580,27,300,17,0.056666666666666664,-0.013450742275670894,-0.929806686937809,0.9964893538272008,20.0,20.0,20.0,580,0
node_add,25,10,580,33,300,20,0.06666666666666667,-0.009780952949799438,-0.9570871219038963,0.9985755591187626,25.0,25.0,25.0,580,0
node_delete,1,10,580,11,300,4,0.013333333333333334,-0.011514901422320662,-0.9253554540248459,0.9273536251857877,-1.0,-2.7810344827586206,1.0,580,0
node_delete,3,10,442,29,236,8,0.03389830508474576,0.008047982921280615,-0.925355553627002,0.9529990600422025,-2.97737556561086,-9.273755656108598,2.97737556561086,580,138
node_delete,5,10,431,36,232,15,0.06465517241379311,0.01527579384971953,-0.925355553627002,0.9114070581272244,-4.837587006960557,-14.895591647331786,4.837587006960557,580,149
node_delete,7,10,413,42,228,17,0.07456140350877193,0.011000942232111644,-0.925355553627002,0.9114070581272244,-6.249394673123486,-19.966101694915253,6.249394673123486,580,167
node_delete,9,10,406,42,226,21,0.09292035398230089,0.02885032315651433,-0.528227299451828,0.9114070581272244,-7.399014778325123,-24.07881773399015,7.399014778325123,580,174
node_delete,11,10,402,38,222,18,0.08108108108108109,0.03416183340228429,-0.528227299451828,0.9114070581272244,-8.388059701492537,-27.713930348258707,8.388059701492537,580,178
node_delete,13,10,399,46,219,25,0.1141552511415525,0.04193218674615432,-0.528227299451828,0.9952434210572392,-9.31578947368421,-31.075187969924812,9.31578947368421,580,181
node_delete,15,10,398,45,218,25,0.11467889908256881,0.03898902657913256,-0.528227299451828,0.9114070581272244,-10.201005025125628,-34.165829145728644,10.201005025125628,580,182
node_delete,20,10,387,46,207,26,0.12560386473429952,0.0434431864597292,-0.528227299451828,0.9217051938176155,-11.912144702842378,-39.64341085271318,11.912144702842378,580,193
node_delete,25,10,380,52,200,31,0.155,0.043621529799348926,-0.528227299451828,0.9114070581272244,-13.157894736842104,-43.36578947368421,13.157894736842104,580,200
node_attribute_modify,1,10,580,10,300,4,0.013333333333333334,-0.008667288816867387,-0.9253554540174349,0.6485330313444138,0.0,0.0,1.0,580,0
node_attribute_modify,3,10,580,38,300,10,0.03333333333333333,-0.018815199891562134,-0.9985933568095788,0.8854416059330106,0.0,0.0,3.0,580,0
node_attribute_modify,5,10,580,38,300,16,0.05333333333333334,-0.0370719482120027,-0.9985933568095788,0.8845297172665596,0.0,0.0,5.0,580,0
node_attribute_modify,7,10,580,47,300,20,0.06666666666666667,-0.03406998604162985,-0.9947043971624225,0.9784448789432645,0.0,0.0,7.0,580,0
node_attribute_modify,9,10,580,54,300,22,0.07333333333333333,-0.032638005418723755,-0.9875174555927515,0.9984937815461308,0.0,0.0,9.0,580,0
node_attribute_modify,11,10,580,60,300,21,0.07,-0.029277346020971227,-0.9875174509361386,0.9983736781869084,0.0,0.0,10.986206896551725,580,0
node_attribute_modify,13,10,580,56,300,23,0.07666666666666666,-0.03389926460823376,-0.9958047473337501,0.9974185733590275,0.0,0.0,12.972413793103449,580,0
