sample,function,true_label,baseline_correct,status,label,prob,nodes,edges,xfg_count
cvefixes__01_vulnerable_expand_dynamic_string_token,unknown,1,False,success,0,0.07134445011615753,9,15,3
cvefixes__02_fixed_dl_dst_substitute,if,0,True,success,0,1.0735370814529688e-08,24,113,4
cvefixes__03_fixed_KPasswordDlg_keyPressed,unknown,0,True,success,0,2.270781578772585e-06,31,34,4
cvefixes__04_fixed_ia64_patch_rse,unknown,0,True,success,0,1.7960705008590594e-05,8,13,2
cvefixes__05_fixed_altivec_unavailable_exception,altivec_unavailable_exception,0,True,success,0,0.00033214734867215157,7,8,1
cvefixes__06_vulnerable_altivec_unavailable_exception,altivec_unavailable_exception,1,False,success,0,0.00033214734867215157,7,8,1
cvefixes__07_fixed_videobuf_vm_close,unknown,0,True,success,0,1.2162955727035296e-06,18,38,17
cvefixes__08_vulnerable_videobuf_vm_close,unknown,1,False,success,0,1.2162955727035296e-06,18,38,17
cvefixes__09_fixed_netlbl_cipsov4_add_common,netlbl_cipsov4_add_common,0,True,success,0,0.0003572004206944257,15,28,9
cvefixes__10_vulnerable_netlbl_cipsov4_add_common,netlbl_cipsov4_add_common,1,False,success,0,0.0036455155350267887,15,26,9
cvefixes__11_fixed_generic_perform_write,generic_perform_write,0,True,success,0,3.535852499680914e-08,44,88,5
cvefixes__12_vulnerable_generic_perform_write,generic_perform_write,1,False,success,0,2.9438250948032874e-08,44,88,5
cvefixes__13_fixed_pango_glyph_string_set_size,unknown,0,True,success,0,0.0004900019848719239,15,37,12
cvefixes__14_vulnerable_pango_glyph_string_set_size,unknown,1,False,success,0,0.0005512622301466763,12,35,12
cvefixes__15_fixed_decode_entities,while,0,True,success,0,5.931518171564676e-05,116,426,17
cvefixes__16_vulnerable_decode_entities,while,1,False,success,0,4.64283766632434e-05,116,414,17
cvefixes__17_vulnerable_eval_js,unknown,1,,failed,,,,,
cvefixes__18_vulnerable_try_read_command,try_read_command,1,False,success,0,0.0024405247531831264,73,190,66
cvefixes__19_fixed_try_read_network,try_read_network,0,True,success,0,6.361402425875476e-14,41,106,26
cvefixes__20_vulnerable_irssi_ssl_handshake,irssi_ssl_handshake,1,False,success,0,0.0013992877211421728,30,43,7
cwe119__01_vulnerable_03_vulnerable_30,if,1,True,success,1,1.0,43,70,40
cwe119__02_vulnerable_04_vulnerable_55,main,1,True,success,1,0.9979885816574097,6,6,4
cwe119__03_vulnerable_05_vulnerable_32,badSink,1,True,success,1,0.9999673366546631,10,8,4
cwe119__04_non_vulnerable_06_non-vulnerable_63,bad,0,True,success,0,3.258859138099979e-08,12,14,7
cwe119__05_non_vulnerable_07_non-vulnerable_41,bad,0,True,success,0,5.184804318001823e-44,14,16,2
cwe119__06_non_vulnerable_08_non-vulnerable_32,CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68_bad,0,True,success,0,2.515208143449854e-05,4,2,4
cwe119__07_non_vulnerable_09_non-vulnerable_83,bad,0,False,success,1,0.5337396860122681,20,23,17
